Timestamp,Open,High,Low,Close,Volume
2024-09-25 04:00:00-04:00,570.4,570.55,570.3,570.48,13928.0
2024-09-25 04:15:00-04:00,570.47,570.61,570.31,570.31,4821.0
2024-09-25 04:30:00-04:00,570.31,570.42,570.26,570.32,2449.0
2024-09-25 04:45:00-04:00,570.38,570.38,570.26,570.38,951.0
2024-09-25 05:00:00-04:00,570.39,570.51,570.38,570.51,1636.0
2024-09-25 05:15:00-04:00,570.37,570.37,570.09,570.31,7316.0
2024-09-25 05:30:00-04:00,570.6,570.6,570.6,570.6,112.0
2024-09-25 05:45:00-04:00,570.41,570.45,570.4,570.4,640.0
2024-09-25 06:00:00-04:00,570.69,571.0,570.69,571.0,9669.0
2024-09-25 06:15:00-04:00,570.97,570.97,570.86,570.97,2893.0
2024-09-25 06:30:00-04:00,571.09,571.09,570.9,570.9,2130.0
2024-09-25 06:45:00-04:00,570.8,571.15,570.68,571.15,6772.0
2024-09-25 07:00:00-04:00,571.15,571.3,571.051,571.11,12466.0
2024-09-25 07:15:00-04:00,571.18,571.18,571.1,571.13,2057.0
2024-09-25 07:30:00-04:00,571.02,571.08,570.93,571.0,15771.0
2024-09-25 07:45:00-04:00,571.02,571.14,570.87,571.1,9993.0
2024-09-25 08:00:00-04:00,570.42,571.21,569.68,570.9,63683.0
2024-09-25 08:15:00-04:00,570.92,571.17,570.92,571.0483,26846.0
2024-09-25 08:30:00-04:00,571.0221,571.2396,571.0221,571.05,49264.0
2024-09-25 08:45:00-04:00,571.05,571.15,570.86,571.1,33700.0
2024-09-25 09:00:00-04:00,571.07,571.19,570.931,571.12,34406.0
2024-09-25 09:15:00-04:00,571.1,571.29,571.05,571.15,69989.0
2024-09-25 09:30:00-04:00,571.14,571.8281,570.86,571.39,2734431.0
2024-09-25 09:45:00-04:00,571.39,571.58,570.98,571.54,1517940.0
2024-09-25 10:00:00-04:00,571.58,571.89,571.36,571.65,1338175.0
2024-09-25 10:15:00-04:00,571.64,571.795,570.9,571.0999,1332528.0
2024-09-25 10:30:00-04:00,571.1,571.4198,570.85,571.17,1022013.0
2024-09-25 10:45:00-04:00,571.18,571.33,570.6,571.23,1080222.0
2024-09-25 11:00:00-04:00,571.24,571.41,570.85,570.96,737651.0
2024-09-25 11:15:00-04:00,570.98,571.1691,570.69,570.77,896172.0
2024-09-25 11:30:00-04:00,570.75,571.25,570.6342,570.8399,602442.0
2024-09-25 11:45:00-04:00,570.84,570.91,570.32,570.74,1423894.0
2024-09-25 12:00:00-04:00,570.74,570.83,570.26,570.64,993061.0
2024-09-25 12:15:00-04:00,570.63,570.7258,570.39,570.64,873314.0
2024-09-25 12:30:00-04:00,570.63,570.64,570.19,570.26,647567.0
2024-09-25 12:45:00-04:00,570.26,570.52,569.88,569.9899,1228798.0
2024-09-25 13:00:00-04:00,569.98,570.21,569.1,569.723806,1718624.0
2024-09-25 13:15:00-04:00,569.73,570.02,569.59,569.75,490140.0
2024-09-25 13:30:00-04:00,569.72,569.86,568.91,569.33,1301664.0
2024-09-25 13:45:00-04:00,569.32,570.32,568.96,570.2719,1167088.0
2024-09-25 14:00:00-04:00,570.25,570.38,569.3656,569.435,877031.0
2024-09-25 14:15:00-04:00,569.4301,570.2,569.03,570.2,748323.0
2024-09-25 14:30:00-04:00,570.17,570.28,569.85,570.07,514694.0
2024-09-25 14:45:00-04:00,570.081,570.24,569.77,570.025,946456.0
2024-09-25 15:00:00-04:00,570.02,570.26,569.84,569.88,917292.0
2024-09-25 15:15:00-04:00,569.89,569.97,569.7,569.865,663368.0
2024-09-25 15:30:00-04:00,569.835,569.86,569.33,569.52,1998238.0
2024-09-25 15:45:00-04:00,569.52,570.14,569.47,570.0,3775780.0
2024-09-25 16:00:00-04:00,570.0,570.49,569.84,570.46,4310819.0
2024-09-25 16:15:00-04:00,570.43,570.5,570.11,570.28,177726.0
2024-09-25 16:30:00-04:00,570.27,570.35,569.9434,570.31,50107.0
2024-09-25 16:45:00-04:00,570.3,570.39,570.04,570.3,84534.0
2024-09-25 17:00:00-04:00,570.26,570.36,570.22,570.25,281668.0
2024-09-25 17:15:00-04:00,570.39,570.5,570.26,570.27,23232.0
2024-09-25 17:30:00-04:00,570.43,570.43,570.35,570.35,3603.0
2024-09-25 17:45:00-04:00,570.3,570.54,570.3,570.4035,16584.0
2024-09-25 18:00:00-04:00,570.4,570.4,570.12,570.23,19371.0
2024-09-25 18:15:00-04:00,570.21,570.24,570.15,570.22,4444.0
2024-09-25 18:30:00-04:00,570.2,570.56,570.2,570.53,9930.0
2024-09-25 18:45:00-04:00,570.54,570.57,570.4,570.47,10509.0
2024-09-25 19:00:00-04:00,570.46,570.46,570.36,570.4499,17221.0
2024-09-25 19:15:00-04:00,570.44,570.53,570.44,570.51,3528.0
2024-09-25 19:30:00-04:00,570.51,570.639,570.51,570.629,5285.0
2024-09-25 19:45:00-04:00,570.63,571.0,570.63,570.94,40349.0
