Datetime,Open,High,Low,Close,Volume
2025-12-01 09:00:00+00:00,641.44,643.75,637.38,640.3,3878.0
2025-12-01 09:05:00+00:00,640.98,642.34,640.89,641.92,2983.0
2025-12-01 09:10:00+00:00,641.77,641.77,640.82,640.82,1987.0
2025-12-01 09:15:00+00:00,640.79,640.8,640.5,640.5,2969.0
2025-12-01 09:20:00+00:00,640.61,640.61,640.02,640.02,1393.0
2025-12-01 09:25:00+00:00,639.85,640.25,639.84,639.91,3725.0
2025-12-01 09:30:00+00:00,639.58,639.58,639.38,639.39,2110.0
2025-12-01 09:35:00+00:00,639.47,639.52,638.75,638.75,2151.0
2025-12-01 09:40:00+00:00,638.53,639.26,638.2,638.76,3263.0
2025-12-01 09:45:00+00:00,639.5,639.5,639.25,639.36,1677.0
2025-12-01 09:50:00+00:00,638.76,638.89,638.6,638.89,565.0
2025-12-01 09:55:00+00:00,638.6,638.9,638.6,638.9,418.0
2025-12-01 10:00:00+00:00,639.0,639.85,639.0,639.84,2236.0
2025-12-01 10:05:00+00:00,640.08,640.4,639.85,640.4,2604.0
2025-12-01 10:10:00+00:00,640.1,640.11,640.1,640.11,339.0
2025-12-01 10:15:00+00:00,640.09,640.09,639.84,639.95,953.0
2025-12-01 10:20:00+00:00,639.95,639.95,639.86,639.86,452.0
2025-12-01 10:25:00+00:00,640.23,640.23,640.23,640.23,101.0
2025-12-01 10:30:00+00:00,640.34,640.35,640.2,640.2,538.0
2025-12-01 10:35:00+00:00,640.63,640.63,640.63,640.63,278.0
2025-12-01 10:40:00+00:00,640.4,640.75,640.39,640.75,1394.0
2025-12-01 10:45:00+00:00,640.7,640.75,640.7,640.75,2567.0
2025-12-01 10:50:00+00:00,640.41,640.71,640.39,640.42,550.0
2025-12-01 10:55:00+00:00,640.39,640.6,640.39,640.6,1649.0
2025-12-01 11:00:00+00:00,640.39,640.56,640.39,640.54,1499.0
2025-12-01 11:05:00+00:00,640.39,640.39,639.94,640.0,3346.0
2025-12-01 11:10:00+00:00,640.35,640.69,640.32,640.69,1504.0
2025-12-01 11:15:00+00:00,640.5,640.5,639.95,639.95,1150.0
2025-12-01 11:20:00+00:00,639.58,639.94,639.58,639.94,299.0
2025-12-01 11:25:00+00:00,639.57,639.57,639.13,639.13,695.0
2025-12-01 11:30:00+00:00,639.06,639.19,639.0,639.0,1553.0
2025-12-01 11:35:00+00:00,638.87,638.87,638.57,638.57,931.0
2025-12-01 11:40:00+00:00,639.0,639.16,638.5,638.5,1460.0
2025-12-01 11:45:00+00:00,638.65,639.35,638.65,639.35,1145.0
2025-12-01 11:50:00+00:00,639.2,639.7,639.07,639.7,934.0
2025-12-01 11:55:00+00:00,639.58,639.72,639.42,639.43,849.0
2025-12-01 12:00:00+00:00,639.43,640.7,639.01,639.01,10277.0
2025-12-01 12:05:00+00:00,639.0,639.5,638.9,639.41,2133.0
2025-12-01 12:10:00+00:00,639.01,639.01,638.0,638.5,4390.0
2025-12-01 12:15:00+00:00,638.48,638.5,637.88,638.5,4237.0
2025-12-01 12:20:00+00:00,638.52,638.9,638.5,638.72,2846.0
2025-12-01 12:25:00+00:00,638.89,639.01,638.59,638.68,1834.0
2025-12-01 12:30:00+00:00,638.52,638.74,638.01,638.17,4323.0
2025-12-01 12:35:00+00:00,638.0,638.5,638.0,638.32,2912.0
2025-12-01 12:40:00+00:00,638.45,638.5,637.9,638.0,3121.0
2025-12-01 12:45:00+00:00,637.8,637.8,636.7,637.0,7304.0
2025-12-01 12:50:00+00:00,637.0,637.65,636.88,637.35,5087.0
2025-12-01 12:55:00+00:00,637.35,637.35,636.78,637.19,3881.0
