Datetime,Open,High,Low,Close,Volume
2025-11-03 09:00:00+00:00,456.02,458.0,456.02,457.74,52719.0
2025-11-03 09:05:00+00:00,457.99,458.09,456.83,457.79,31997.0
2025-11-03 09:10:00+00:00,457.79,458.25,457.2,457.72,22396.0
2025-11-03 09:15:00+00:00,457.65,458.46,457.54,458.46,28100.0
2025-11-03 09:20:00+00:00,458.44,459.33,457.7,459.32,37220.0
2025-11-03 09:25:00+00:00,459.2,459.2,458.46,458.85,16438.0
2025-11-03 09:30:00+00:00,458.89,459.0,458.07,458.37,13238.0
2025-11-03 09:35:00+00:00,458.24,458.43,458.01,458.21,8005.0
2025-11-03 09:40:00+00:00,458.25,458.34,457.9,458.18,6237.0
2025-11-03 09:45:00+00:00,458.04,458.1,457.62,457.72,8444.0
2025-11-03 09:50:00+00:00,457.75,458.1,457.68,457.98,11375.0
2025-11-03 09:55:00+00:00,457.96,458.01,457.78,457.89,4256.0
2025-11-03 10:00:00+00:00,457.85,458.0,457.76,457.9,5575.0
2025-11-03 10:05:00+00:00,458.01,458.14,457.97,458.12,18689.0
2025-11-03 10:10:00+00:00,458.0,458.56,458.0,458.05,18712.0
2025-11-03 10:15:00+00:00,458.37,458.37,457.9,458.09,7659.0
2025-11-03 10:20:00+00:00,458.15,458.46,457.92,458.3,13317.0
2025-11-03 10:25:00+00:00,458.32,458.32,458.0,458.16,2626.0
2025-11-03 10:30:00+00:00,458.1,458.3,458.1,458.29,3970.0
2025-11-03 10:35:00+00:00,458.22,458.37,458.0,458.1,5824.0
2025-11-03 10:40:00+00:00,458.15,458.45,458.01,458.23,3626.0
2025-11-03 10:45:00+00:00,458.34,458.44,458.0,458.24,4783.0
2025-11-03 10:50:00+00:00,458.19,458.55,458.19,458.37,3609.0
2025-11-03 10:55:00+00:00,458.25,458.39,458.0,458.11,4779.0
2025-11-03 11:00:00+00:00,458.12,458.24,457.7,457.7,11720.0
2025-11-03 11:05:00+00:00,457.96,458.04,457.68,458.0,6713.0
2025-11-03 11:10:00+00:00,457.99,458.35,457.99,458.22,3193.0
2025-11-03 11:15:00+00:00,458.21,458.38,457.84,458.04,11130.0
2025-11-03 11:20:00+00:00,458.03,458.25,458.03,458.18,3435.0
2025-11-03 11:25:00+00:00,458.11,458.28,458.0,458.28,6659.0
2025-11-03 11:30:00+00:00,458.18,458.28,458.05,458.25,5030.0
2025-11-03 11:35:00+00:00,458.25,458.95,458.25,458.89,13711.0
2025-11-03 11:40:00+00:00,458.86,459.0,458.52,458.99,14887.0
2025-11-03 11:45:00+00:00,458.88,459.0,458.58,458.58,4141.0
