ts,Volume,vw,Open,Close,High,Low,t,n
2026-06-01 13:30:00+00:00,10,28.14,30.4,26.6,30.4,26.6,1780320600000,10
2026-06-01 13:32:00+00:00,22,30.3845,29.5,33.2,33.22,29.1,1780320720000,18
2026-06-01 13:34:00+00:00,40,31.3075,31.2,31.3,33.5,30.4,1780320840000,28
2026-06-01 13:35:00+00:00,16,33.7481,31.8,34.7,34.8,31.75,1780320900000,11
2026-06-01 13:36:00+00:00,28,34.1993,34.7,32.8,35.85,31.4,1780320960000,13
2026-06-01 13:37:00+00:00,18,34.2939,32.9,35.2,35.34,32.8,1780321020000,11
2026-06-01 13:38:00+00:00,8,35.925,35.3,36.3,36.7,35.3,1780321080000,6
2026-06-01 13:39:00+00:00,11,35.7682,36.25,35.8,37.0,35.3,1780321140000,7
2026-06-01 13:40:00+00:00,15,33.404,34.7,32.57,34.7,32.57,1780321200000,9
2026-06-01 13:41:00+00:00,7,32.8329,32.65,33.5,33.5,32.65,1780321260000,7
2026-06-01 13:42:00+00:00,7,33.8286,33.25,35.55,35.55,33.25,1780321320000,4
2026-06-01 13:43:00+00:00,21,36.2548,35.3,35.59,36.7,35.3,1780321380000,11
2026-06-01 13:44:00+00:00,15,35.448,35.8,34.5,36.6,34.5,1780321440000,10
2026-06-01 13:45:00+00:00,13,34.9954,35.36,34.9,35.36,34.9,1780321500000,5
2026-06-01 13:46:00+00:00,14,34.9429,35.6,34.9,35.8,34.5,1780321560000,6
2026-06-01 13:47:00+00:00,29,37.0038,37.3,37.0,37.3,36.6,1780321620000,11
2026-06-01 13:48:00+00:00,14,35.3514,35.1,36.4,36.5,34.52,1780321680000,4
2026-06-01 13:49:00+00:00,14,35.0421,35.4,34.77,35.4,34.2,1780321740000,8
2026-06-01 13:50:00+00:00,24,36.6667,35.7,36.6,38.0,35.7,1780321800000,13
2026-06-01 13:51:00+00:00,32,35.5891,37.3,33.2,37.3,32.64,1780321860000,14
2026-06-01 13:52:00+00:00,24,34.4779,34.95,33.4,34.95,33.4,1780321920000,11
2026-06-01 13:53:00+00:00,11,34.5364,34.2,34.8,34.8,34.2,1780321980000,5
2026-06-01 13:54:00+00:00,12,34.1167,34.6,33.6,34.6,33.4,1780322040000,6
2026-06-01 13:55:00+00:00,52,31.7421,33.0,31.61,33.0,31.22,1780322100000,11
2026-06-01 13:56:00+00:00,20,32.44,31.3,33.4,33.4,31.0,1780322160000,8
2026-06-01 13:57:00+00:00,16,32.6488,31.8,32.0,33.29,31.8,1780322220000,8
2026-06-01 13:58:00+00:00,3,30.89,30.72,30.77,31.18,30.72,1780322280000,3
2026-06-01 13:59:00+00:00,36,30.0361,30.0,30.13,30.3,29.1,1780322340000,11
2026-06-01 14:00:00+00:00,11,29.4982,29.64,27.9,30.8,27.9,1780322400000,7
2026-06-01 14:01:00+00:00,25,31.216,29.4,31.7,32.7,29.4,1780322460000,12
2026-06-01 14:02:00+00:00,5,31.224,31.52,31.4,31.52,30.9,1780322520000,3
2026-06-01 14:03:00+00:00,21,28.6343,29.26,28.6,29.26,28.0,1780322580000,9
