ts,Open,High,Low,Close,Volume
2026-04-29 13:30:00+00:00,23.38,23.6,19.8,20.1,86
2026-04-29 13:31:00+00:00,19.9,20.5,17.8,18.8,179
2026-04-29 13:32:00+00:00,19.2,19.2,17.2,17.37,214
2026-04-29 13:33:00+00:00,17.4,19.1,17.35,18.9,218
2026-04-29 13:34:00+00:00,19.1,19.3,17.46,17.5,116
2026-04-29 13:35:00+00:00,17.0,18.8,17.0,18.52,222
2026-04-29 13:36:00+00:00,18.8,19.5,17.7,18.1,147
2026-04-29 13:38:00+00:00,19.2,19.4,18.05,18.3,102
2026-04-29 13:39:00+00:00,18.1,19.2,18.0,19.2,143
2026-04-29 13:40:00+00:00,19.2,19.7,18.0,18.3,62
2026-04-29 13:41:00+00:00,18.5,19.3,18.3,18.4,76
2026-04-29 13:42:00+00:00,18.5,18.7,17.3,18.7,81
2026-04-29 13:43:00+00:00,18.5,18.6,17.0,17.0,137
2026-04-29 13:44:00+00:00,16.98,17.72,16.3,16.3,123
2026-04-29 13:45:00+00:00,16.3,16.3,15.28,15.4,322
2026-04-29 13:46:00+00:00,15.3,16.28,14.9,15.7,556
2026-04-29 13:47:00+00:00,15.9,17.1,15.5,15.7,218
2026-04-29 13:48:00+00:00,15.6,16.5,15.0,16.0,395
2026-04-29 13:49:00+00:00,16.0,16.4,15.6,15.62,273
2026-04-29 13:50:00+00:00,15.5,18.1,15.5,17.8,392
2026-04-29 13:51:00+00:00,17.7,17.9,16.4,17.5,118
2026-04-29 13:52:00+00:00,17.0,17.0,16.29,16.5,149
2026-04-29 13:53:00+00:00,16.4,18.8,16.24,18.65,333
2026-04-29 13:54:00+00:00,18.9,19.5,18.4,18.7,222
2026-04-29 13:55:00+00:00,19.3,19.8,18.6,19.5,98
2026-04-29 13:56:00+00:00,19.7,20.9,19.6,20.6,131
2026-04-29 13:57:00+00:00,20.4,20.55,20.1,20.3,58
2026-04-29 13:58:00+00:00,19.8,19.8,18.5,18.8,86
2026-04-29 13:59:00+00:00,18.57,20.2,18.57,19.4,85
2026-04-29 14:00:00+00:00,19.4,19.4,17.28,17.28,118
2026-04-29 14:01:00+00:00,17.2,18.0,16.8,16.8,108
2026-04-29 14:02:00+00:00,16.75,18.4,16.7,18.4,140
2026-04-29 14:03:00+00:00,18.5,18.5,17.35,17.38,71
2026-04-29 14:04:00+00:00,17.1,18.8,16.9,18.5,59
2026-04-29 14:05:00+00:00,18.5,18.8,17.8,18.5,71
2026-04-29 14:06:00+00:00,19.16,19.19,17.9,18.5,45
2026-04-29 14:07:00+00:00,18.0,18.7,17.5,18.1,83
2026-04-29 14:08:00+00:00,18.5,18.7,17.5,18.2,74
2026-04-29 14:09:00+00:00,18.4,19.1,18.2,19.1,107
2026-04-29 14:10:00+00:00,18.8,19.6,18.6,19.3,59
2026-04-29 14:11:00+00:00,19.3,19.7,18.6,19.0,57
2026-04-29 14:12:00+00:00,18.6,20.4,18.5,20.3,91
2026-04-29 14:13:00+00:00,20.0,21.3,19.9,20.6,110
2026-04-29 14:14:00+00:00,20.9,21.1,20.6,20.9,71
2026-04-29 14:15:00+00:00,20.53,21.25,19.9,21.0,71
2026-04-29 14:16:00+00:00,21.0,21.72,20.7,20.9,59
2026-04-29 14:17:00+00:00,20.9,21.7,20.9,21.0,19
2026-04-29 14:18:00+00:00,21.2,21.2,20.4,20.4,48
2026-04-29 14:19:00+00:00,20.4,20.4,19.6,20.3,47
2026-04-29 14:20:00+00:00,19.8,20.7,19.8,20.5,33
2026-04-29 14:21:00+00:00,19.9,20.6,19.6,20.6,38
2026-04-29 14:22:00+00:00,20.7,21.5,20.7,21.4,38
2026-04-29 14:23:00+00:00,21.2,21.9,20.9,21.7,39
2026-04-29 14:24:00+00:00,22.0,22.0,20.7,21.69,36
2026-04-29 14:25:00+00:00,22.03,22.5,21.95,22.1,33
2026-04-29 14:26:00+00:00,22.0,22.6,22.0,22.2,35
2026-04-29 14:27:00+00:00,21.7,23.0,21.57,22.2,47
2026-04-29 14:28:00+00:00,22.0,23.1,22.0,22.93,40
2026-04-29 14:29:00+00:00,23.45,23.45,22.3,22.3,16
2026-04-29 14:30:00+00:00,22.49,22.49,21.37,22.3,44
2026-04-29 14:31:00+00:00,22.08,23.0,21.4,23.0,139
2026-04-29 14:32:00+00:00,24.0,24.6,23.9,24.0,80
2026-04-29 14:33:00+00:00,24.0,24.9,24.0,24.5,75
2026-04-29 14:34:00+00:00,24.5,25.3,24.5,25.3,14
2026-04-29 14:35:00+00:00,25.5,26.8,25.0,26.0,69
2026-04-29 14:36:00+00:00,26.48,27.0,25.9,26.63,24
2026-04-29 14:37:00+00:00,26.7,27.9,26.33,26.4,73
2026-04-29 14:38:00+00:00,26.3,26.6,25.4,26.6,17
2026-04-29 14:39:00+00:00,26.1,26.46,25.4,25.4,42
2026-04-29 14:40:00+00:00,24.94,24.94,24.1,24.75,104
2026-04-29 14:41:00+00:00,25.3,25.3,24.2,24.5,39
2026-04-29 14:42:00+00:00,24.0,25.6,24.0,25.2,46
2026-04-29 14:43:00+00:00,24.6,24.6,24.05,24.2,15
2026-04-29 14:44:00+00:00,24.27,24.9,24.27,24.9,8
2026-04-29 14:45:00+00:00,25.3,25.3,24.4,24.4,21
2026-04-29 14:46:00+00:00,23.8,24.2,23.8,24.0,10
2026-04-29 14:47:00+00:00,23.88,23.88,22.77,23.27,132
2026-04-29 14:48:00+00:00,23.5,24.5,23.5,24.47,25
2026-04-29 14:49:00+00:00,24.66,24.66,22.5,22.5,3
2026-04-29 14:50:00+00:00,22.7,22.83,22.0,22.7,10
2026-04-29 14:51:00+00:00,22.5,23.0,22.3,22.67,18
2026-04-29 14:52:00+00:00,22.8,23.0,22.4,22.7,21
2026-04-29 14:53:00+00:00,22.6,23.31,22.6,23.0,33
2026-04-29 14:54:00+00:00,23.47,23.97,23.4,23.4,18
2026-04-29 14:55:00+00:00,23.2,23.2,22.5,22.71,72
2026-04-29 14:56:00+00:00,22.5,22.5,22.2,22.2,24
2026-04-29 14:57:00+00:00,21.99,22.9,21.99,22.9,7
2026-04-29 14:58:00+00:00,22.97,23.1,22.0,22.07,18
2026-04-29 14:59:00+00:00,22.5,22.7,22.0,22.0,6
2026-04-29 15:00:00+00:00,22.4,22.5,22.0,22.3,23
2026-04-29 15:01:00+00:00,21.8,21.8,20.13,20.45,10
2026-04-29 15:02:00+00:00,20.4,20.8,20.0,20.3,34
2026-04-29 15:03:00+00:00,20.58,20.7,19.1,19.1,91
2026-04-29 15:04:00+00:00,19.1,20.3,19.1,19.8,52
2026-04-29 15:05:00+00:00,19.6,20.2,19.6,20.2,39
2026-04-29 15:06:00+00:00,20.35,20.4,20.0,20.0,29
2026-04-29 15:07:00+00:00,20.0,20.0,19.0,19.08,33
2026-04-29 15:08:00+00:00,19.0,19.0,18.3,18.3,123
2026-04-29 15:09:00+00:00,18.25,18.25,17.16,17.16,64
2026-04-29 15:10:00+00:00,17.1,17.3,16.7,16.7,221
2026-04-29 15:11:00+00:00,16.9,16.95,15.75,15.8,127
2026-04-29 15:12:00+00:00,15.9,16.0,15.1,16.0,251
2026-04-29 15:13:00+00:00,16.4,16.4,15.5,15.9,198
2026-04-29 15:14:00+00:00,15.7,16.0,15.3,15.5,222
2026-04-29 15:15:00+00:00,15.53,16.7,14.9,16.3,275
2026-04-29 15:16:00+00:00,16.4,17.4,16.4,17.3,230
2026-04-29 15:17:00+00:00,17.34,18.1,17.34,17.9,223
2026-04-29 15:18:00+00:00,17.6,18.0,16.8,16.9,50
2026-04-29 15:19:00+00:00,16.6,17.3,16.6,17.2,43
2026-04-29 15:20:00+00:00,17.45,17.6,16.8,17.4,51
2026-04-29 15:21:00+00:00,17.0,17.75,17.0,17.6,37
2026-04-29 15:22:00+00:00,18.0,18.0,17.4,17.4,35
2026-04-29 15:23:00+00:00,17.23,17.6,17.0,17.5,11
2026-04-29 15:24:00+00:00,17.8,18.55,17.7,17.7,72
2026-04-29 15:25:00+00:00,17.8,18.6,17.8,18.6,87
2026-04-29 15:26:00+00:00,18.7,18.7,18.1,18.5,73
2026-04-29 15:27:00+00:00,18.6,18.88,17.5,17.8,83
2026-04-29 15:28:00+00:00,17.25,17.6,16.6,17.5,48
2026-04-29 15:29:00+00:00,17.5,19.49,17.4,17.8,83
2026-04-29 15:30:00+00:00,17.7,18.93,17.7,18.0,35
2026-04-29 15:31:00+00:00,18.3,18.5,17.6,18.5,85
2026-04-29 15:32:00+00:00,18.3,18.3,16.0,16.8,98
2026-04-29 15:33:00+00:00,17.02,17.4,16.9,17.2,215
2026-04-29 15:34:00+00:00,17.4,17.6,16.4,17.6,13
2026-04-29 15:35:00+00:00,17.7,18.1,17.26,17.8,52
2026-04-29 15:36:00+00:00,17.5,17.7,17.0,17.36,54
2026-04-29 15:37:00+00:00,17.4,18.0,16.9,16.9,65
2026-04-29 15:38:00+00:00,16.7,16.7,16.0,16.4,27
2026-04-29 15:39:00+00:00,16.1,16.7,16.0,16.7,22
2026-04-29 15:40:00+00:00,16.6,16.8,15.9,15.9,45
2026-04-29 15:41:00+00:00,16.0,16.0,15.4,15.6,40
2026-04-29 15:42:00+00:00,15.5,16.5,15.3,16.4,37
2026-04-29 15:43:00+00:00,16.5,16.7,16.3,16.3,30
2026-04-29 15:44:00+00:00,16.4,16.4,15.6,16.1,49
2026-04-29 15:45:00+00:00,16.35,17.9,16.35,17.7,50
2026-04-29 15:46:00+00:00,17.7,17.9,17.2,17.3,30
2026-04-29 15:47:00+00:00,17.31,17.9,17.1,17.1,35
2026-04-29 15:48:00+00:00,17.1,17.2,16.9,17.0,14
2026-04-29 15:49:00+00:00,16.7,17.7,16.7,17.5,39
2026-04-29 15:50:00+00:00,17.58,18.3,17.5,18.3,67
2026-04-29 15:51:00+00:00,18.1,18.1,13.7,16.4,130
2026-04-29 15:52:00+00:00,16.7,17.1,14.0,15.4,187
2026-04-29 15:53:00+00:00,15.3,15.3,12.4,12.4,294
2026-04-29 15:54:00+00:00,12.21,12.8,11.2,11.9,357
2026-04-29 15:55:00+00:00,11.7,13.1,10.9,13.1,283
2026-04-29 15:56:00+00:00,13.1,13.5,11.9,12.6,209
2026-04-29 15:57:00+00:00,12.3,12.8,11.86,12.3,121
2026-04-29 15:58:00+00:00,12.3,13.7,12.3,13.6,461
2026-04-29 15:59:00+00:00,13.6,14.2,12.3,13.7,288
2026-04-29 16:00:00+00:00,13.8,14.2,13.3,13.8,173
2026-04-29 16:01:00+00:00,13.83,15.1,13.7,14.86,150
2026-04-29 16:02:00+00:00,15.0,15.4,14.64,15.4,132
2026-04-29 16:03:00+00:00,15.4,15.5,14.7,15.3,114
2026-04-29 16:04:00+00:00,15.2,15.9,15.2,15.8,72
2026-04-29 16:05:00+00:00,15.9,16.1,15.2,15.79,114
2026-04-29 16:06:00+00:00,15.7,16.8,15.6,15.7,148
2026-04-29 16:07:00+00:00,15.6,16.2,14.6,16.2,98
2026-04-29 16:08:00+00:00,16.5,16.7,16.1,16.3,95
2026-04-29 16:09:00+00:00,16.6,16.7,15.3,15.3,123
2026-04-29 16:10:00+00:00,15.07,16.5,15.07,16.15,99
2026-04-29 16:11:00+00:00,16.2,16.8,15.55,15.6,63
2026-04-29 16:12:00+00:00,15.5,15.5,15.0,15.5,76
2026-04-29 16:13:00+00:00,15.3,15.6,14.9,14.9,32
2026-04-29 16:14:00+00:00,14.9,14.9,14.1,14.1,71
2026-04-29 16:15:00+00:00,14.2,15.7,14.0,15.3,149
2026-04-29 16:16:00+00:00,15.02,15.06,14.36,14.36,93
2026-04-29 16:17:00+00:00,14.37,14.37,13.6,13.6,155
2026-04-29 16:18:00+00:00,13.6,13.7,12.7,13.0,149
2026-04-29 16:19:00+00:00,13.2,13.2,12.1,12.5,125
2026-04-29 16:20:00+00:00,12.2,13.4,12.2,13.0,184
2026-04-29 16:21:00+00:00,13.11,13.6,12.6,12.6,124
2026-04-29 16:22:00+00:00,12.66,12.9,12.5,12.5,80
2026-04-29 16:23:00+00:00,12.36,13.5,12.36,13.5,154
2026-04-29 16:24:00+00:00,13.5,14.1,13.4,13.8,182
2026-04-29 16:25:00+00:00,13.88,14.2,12.7,12.7,68
2026-04-29 16:26:00+00:00,12.8,13.3,12.6,13.0,82
2026-04-29 16:27:00+00:00,13.2,13.5,12.54,12.7,89
2026-04-29 16:28:00+00:00,12.5,12.5,12.1,12.2,121
2026-04-29 16:29:00+00:00,12.2,12.5,11.4,11.7,126
2026-04-29 16:30:00+00:00,11.6,11.6,10.5,10.6,232
2026-04-29 16:31:00+00:00,10.5,10.7,9.75,10.4,207
2026-04-29 16:32:00+00:00,10.4,10.7,9.9,10.7,174
2026-04-29 16:33:00+00:00,10.7,10.8,9.6,9.8,230
2026-04-29 16:34:00+00:00,9.6,9.8,9.2,9.6,196
2026-04-29 16:35:00+00:00,9.7,9.9,9.3,9.9,138
2026-04-29 16:36:00+00:00,10.1,10.3,9.15,9.48,151
2026-04-29 16:37:00+00:00,9.5,10.0,9.1,9.5,149
2026-04-29 16:38:00+00:00,9.8,10.5,9.8,10.5,125
2026-04-29 16:39:00+00:00,10.5,10.7,10.1,10.4,222
2026-04-29 16:40:00+00:00,10.6,11.8,10.6,11.8,221
2026-04-29 16:41:00+00:00,11.7,11.7,10.65,11.0,193
2026-04-29 16:42:00+00:00,11.05,11.5,10.9,10.9,90
2026-04-29 16:43:00+00:00,10.9,11.6,10.7,11.6,67
2026-04-29 16:44:00+00:00,11.6,11.7,11.4,11.6,130
2026-04-29 16:45:00+00:00,11.6,11.6,11.1,11.5,88
2026-04-29 16:46:00+00:00,11.6,12.1,11.6,11.7,163
2026-04-29 16:47:00+00:00,11.8,11.9,11.5,11.7,61
2026-04-29 16:48:00+00:00,11.5,12.0,11.2,11.98,167
2026-04-29 16:49:00+00:00,12.0,12.5,11.8,12.0,139
2026-04-29 16:50:00+00:00,11.8,12.45,11.4,12.15,70
2026-04-29 16:51:00+00:00,12.4,12.6,12.3,12.4,141
2026-04-29 16:52:00+00:00,12.5,12.6,12.1,12.2,124
2026-04-29 16:53:00+00:00,12.0,12.4,11.4,11.4,100
