ts,Volume,vw,Open,Close,High,Low,t,n
2026-05-29 13:30:00+00:00,115,16.2035,16.99,15.9,17.1,15.5,1780061400000,70
2026-05-29 13:32:00+00:00,130,19.0936,18.54,19.0,20.0,18.3,1780061520000,65
2026-05-29 13:33:00+00:00,158,19.5684,18.85,19.7,20.26,18.8,1780061580000,50
2026-05-29 13:34:00+00:00,127,19.2809,19.6,18.6,20.1,18.38,1780061640000,52
2026-05-29 13:35:00+00:00,146,20.1515,18.27,20.9,21.2,18.27,1780061700000,90
2026-05-29 13:36:00+00:00,128,20.8672,20.8,21.6,21.6,20.2,1780061760000,58
2026-05-29 13:37:00+00:00,74,21.7218,21.56,22.4,23.0,21.13,1780061820000,52
2026-05-29 13:38:00+00:00,58,22.3293,22.4,22.7,22.9,21.5,1780061880000,31
2026-05-29 13:39:00+00:00,68,22.6224,23.05,22.9,23.05,22.25,1780061940000,21
2026-05-29 13:40:00+00:00,65,23.5518,23.0,24.3,24.3,22.6,1780062000000,35
2026-05-29 13:41:00+00:00,162,25.3614,24.3,27.06,27.06,24.3,1780062060000,53
2026-05-29 13:42:00+00:00,88,26.5561,26.9,25.9,27.1,25.7,1780062120000,45
2026-05-29 13:43:00+00:00,69,25.8445,25.6,25.5,26.6,25.5,1780062180000,31
2026-05-29 13:44:00+00:00,89,26.0454,25.28,27.45,27.5,24.8,1780062240000,49
2026-05-29 13:45:00+00:00,60,29.1475,28.7,28.6,30.27,28.4,1780062300000,29
2026-05-29 13:46:00+00:00,33,27.9076,28.45,27.2,29.25,27.1,1780062360000,23
2026-05-29 13:47:00+00:00,41,28.5485,26.7,29.3,29.7,26.7,1780062420000,23
2026-05-29 13:48:00+00:00,21,29.0476,29.1,28.58,29.65,28.25,1780062480000,13
2026-05-29 13:49:00+00:00,27,28.8704,29.3,29.0,29.3,28.3,1780062540000,20
2026-05-29 13:50:00+00:00,17,28.2976,29.18,27.3,29.2,27.3,1780062600000,10
2026-05-29 13:51:00+00:00,21,27.5243,27.9,27.65,27.9,27.0,1780062660000,14
2026-05-29 13:52:00+00:00,12,28.5492,27.87,29.4,29.4,27.87,1780062720000,11
2026-05-29 13:53:00+00:00,48,29.9575,29.5,30.6,30.9,29.2,1780062780000,28
2026-05-29 13:54:00+00:00,60,30.4637,30.6,31.15,31.3,29.95,1780062840000,24
2026-05-29 13:55:00+00:00,68,29.8543,30.6,29.4,31.05,29.4,1780062900000,15
2026-05-29 13:56:00+00:00,27,30.1681,30.0,29.0,30.5,29.0,1780062960000,7
2026-05-29 13:57:00+00:00,15,29.8887,29.9,29.6,30.22,29.6,1780063020000,9
2026-05-29 13:58:00+00:00,16,29.7013,29.3,29.8,29.92,29.3,1780063080000,13
2026-05-29 13:59:00+00:00,13,29.6769,30.1,30.5,30.5,28.6,1780063140000,10
2026-05-29 14:00:00+00:00,51,30.9722,30.6,32.0,32.0,28.4,1780063200000,20
2026-05-29 14:01:00+00:00,17,30.8176,31.6,30.8,31.6,30.6,1780063260000,6
2026-05-29 14:02:00+00:00,72,31.2803,30.82,31.1,32.4,30.82,1780063320000,21
2026-05-29 14:03:00+00:00,21,30.4652,30.97,30.0,31.13,29.48,1780063380000,15
2026-05-29 14:04:00+00:00,7,29.3829,29.6,28.82,29.9,28.82,1780063440000,6
2026-05-29 14:05:00+00:00,42,29.0026,28.88,29.2,29.7,28.8,1780063500000,12
2026-05-29 14:06:00+00:00,18,28.7628,29.3,29.77,29.77,28.0,1780063560000,9
2026-05-29 14:07:00+00:00,34,28.8918,29.75,28.8,29.75,28.3,1780063620000,13
2026-05-29 14:08:00+00:00,19,27.6342,28.42,26.08,28.47,26.08,1780063680000,13
2026-05-29 14:09:00+00:00,24,26.6788,26.4,26.1,27.1,26.1,1780063740000,14
2026-05-29 14:10:00+00:00,17,26.6506,26.32,26.3,28.04,26.0,1780063800000,12
2026-05-29 14:11:00+00:00,42,26.669,26.3,27.6,27.6,25.6,1780063860000,18
2026-05-29 14:12:00+00:00,48,28.0165,27.08,29.3,29.3,27.08,1780063920000,18
2026-05-29 14:13:00+00:00,39,27.8146,28.7,27.8,28.7,27.0,1780063980000,23
2026-05-29 14:14:00+00:00,30,26.4843,27.0,26.33,27.2,26.2,1780064040000,19
