ts,Volume,vw,Open,Close,High,Low,t,n
2026-06-02 13:30:00+00:00,139,6.9174,6.9,6.6,7.5,6.3,1780407000000,78
2026-06-02 13:32:00+00:00,250,5.5158,5.7,5.76,6.03,5.2,1780407120000,129
2026-06-02 13:34:00+00:00,129,5.6295,5.54,5.73,5.78,5.42,1780407240000,57
2026-06-02 13:35:00+00:00,281,5.8204,5.85,5.9,6.26,5.4,1780407300000,104
2026-06-02 13:36:00+00:00,102,5.7975,5.75,6.0,6.2,5.6,1780407360000,60
2026-06-02 13:37:00+00:00,120,6.0607,5.8,6.0,6.35,5.8,1780407420000,61
2026-06-02 13:38:00+00:00,343,6.3059,6.1,6.15,6.62,5.66,1780407480000,101
2026-06-02 13:39:00+00:00,222,6.4334,6.1,6.8,6.8,6.0,1780407540000,97
2026-06-02 13:40:00+00:00,304,7.0841,6.8,6.8,7.5,6.6,1780407600000,151
2026-06-02 13:41:00+00:00,178,7.0171,6.7,6.5,7.5,6.5,1780407660000,94
2026-06-02 13:42:00+00:00,293,6.6003,6.5,5.93,7.0,5.93,1780407720000,111
2026-06-02 13:43:00+00:00,108,6.0601,5.9,6.1,6.5,5.88,1780407780000,60
2026-06-02 13:44:00+00:00,173,5.8213,6.2,5.5,6.22,5.4,1780407840000,82
2026-06-02 13:45:00+00:00,293,4.9592,5.4,4.93,5.5,4.69,1780407900000,168
2026-06-02 13:46:00+00:00,141,4.7215,4.85,4.6,4.9,4.46,1780407960000,87
2026-06-02 13:47:00+00:00,695,5.0231,4.5,4.8,5.13,4.5,1780408020000,103
2026-06-02 13:48:00+00:00,77,4.9213,4.87,4.7,5.05,4.7,1780408080000,41
2026-06-02 13:49:00+00:00,167,4.6622,4.7,4.5,4.8,4.5,1780408140000,59
2026-06-02 13:50:00+00:00,121,4.724,4.52,4.6,5.0,4.5,1780408200000,58
2026-06-02 13:51:00+00:00,87,4.6785,4.7,4.6,4.85,4.5,1780408260000,40
2026-06-02 13:52:00+00:00,110,4.6832,4.7,4.57,5.0,4.5,1780408320000,54
2026-06-02 13:53:00+00:00,120,4.2714,4.7,4.2,4.7,4.1,1780408380000,72
2026-06-02 13:54:00+00:00,130,4.5952,4.2,4.72,4.8,4.2,1780408440000,56
2026-06-02 13:55:00+00:00,143,4.8079,4.65,5.0,5.0,4.56,1780408500000,76
2026-06-02 13:56:00+00:00,90,4.855,5.0,4.6,5.0,4.6,1780408560000,52
2026-06-02 13:57:00+00:00,94,4.7411,4.8,4.5,4.92,4.47,1780408620000,50
2026-06-02 13:58:00+00:00,118,4.4609,4.5,4.37,4.8,4.2,1780408680000,63
2026-06-02 13:59:00+00:00,83,4.5943,4.5,4.5,4.9,4.4,1780408740000,42
2026-06-02 14:00:00+00:00,322,4.8516,4.38,4.7,5.3,4.1,1780408800000,120
2026-06-02 14:01:00+00:00,166,4.6393,4.95,4.3,5.0,4.2,1780408860000,43
2026-06-02 14:02:00+00:00,86,4.4777,4.33,4.75,4.75,4.25,1780408920000,48
2026-06-02 14:03:00+00:00,124,4.4561,4.7,4.22,4.7,4.2,1780408980000,66
2026-06-02 14:04:00+00:00,181,3.9128,4.2,3.66,4.2,3.66,1780409040000,96
2026-06-02 14:05:00+00:00,525,3.7569,3.6,3.74,4.1,3.5,1780409100000,165
2026-06-02 14:06:00+00:00,271,3.6363,3.85,3.7,3.91,3.32,1780409160000,111
2026-06-02 14:07:00+00:00,255,3.7616,3.7,3.85,3.85,3.6,1780409220000,99
2026-06-02 14:08:00+00:00,185,3.7185,3.85,3.75,3.9,3.6,1780409280000,80
2026-06-02 14:09:00+00:00,277,3.5662,3.72,3.5,3.73,3.4,1780409340000,118
2026-06-02 14:10:00+00:00,250,3.3554,3.5,3.3,3.5,3.24,1780409400000,167
2026-06-02 14:11:00+00:00,378,3.1769,3.2,2.95,3.5,2.95,1780409460000,196
2026-06-02 14:12:00+00:00,329,2.9957,2.95,2.85,3.1,2.85,1780409520000,160
2026-06-02 14:13:00+00:00,381,2.7257,2.9,2.7,2.9,2.65,1780409580000,129
2026-06-02 14:14:00+00:00,184,2.8725,2.7,3.0,3.0,2.7,1780409640000,115
2026-06-02 14:15:00+00:00,349,2.877,2.95,2.7,3.02,2.69,1780409700000,119
2026-06-02 14:16:00+00:00,252,2.8569,2.7,2.95,3.0,2.65,1780409760000,91
2026-06-02 14:17:00+00:00,308,3.0686,2.97,3.15,3.2,2.97,1780409820000,84
2026-06-02 14:18:00+00:00,89,2.986,3.1,2.8,3.1,2.77,1780409880000,50
2026-06-02 14:19:00+00:00,206,2.7429,2.8,2.73,2.85,2.65,1780409940000,64
2026-06-02 14:20:00+00:00,281,2.597,2.67,2.65,2.77,2.45,1780410000000,144
2026-06-02 14:21:00+00:00,289,2.9038,2.7,3.16,3.16,2.65,1780410060000,108
2026-06-02 14:22:00+00:00,250,3.1477,3.1,3.3,3.4,2.95,1780410120000,132
2026-06-02 14:23:00+00:00,124,3.1014,3.2,3.1,3.3,2.95,1780410180000,73
2026-06-02 14:24:00+00:00,119,3.1445,3.2,3.0,3.3,3.0,1780410240000,79
2026-06-02 14:25:00+00:00,207,3.0903,3.0,3.32,3.4,2.68,1780410300000,114
2026-06-02 14:26:00+00:00,443,3.4423,3.3,3.6,3.65,3.2,1780410360000,195
2026-06-02 14:27:00+00:00,1541,3.9113,3.67,3.8,4.0,3.6,1780410420000,183
2026-06-02 14:28:00+00:00,891,3.8423,3.9,3.57,4.0,3.5,1780410480000,147
2026-06-02 14:29:00+00:00,203,3.4555,3.5,3.4,3.8,3.2,1780410540000,92
2026-06-02 14:30:00+00:00,207,3.1208,3.55,3.15,3.55,2.95,1780410600000,105
2026-06-02 14:31:00+00:00,191,2.8299,3.1,2.65,3.1,2.55,1780410660000,108
2026-06-02 14:32:00+00:00,171,2.6592,2.65,2.47,2.8,2.45,1780410720000,90
2026-06-02 14:33:00+00:00,416,2.2491,2.45,2.1,2.45,2.1,1780410780000,185
2026-06-02 14:34:00+00:00,355,2.1567,2.1,2.1,2.25,2.02,1780410840000,134
2026-06-02 14:35:00+00:00,406,2.0255,2.1,2.02,2.15,1.95,1780410900000,241
2026-06-02 14:36:00+00:00,362,1.9693,2.0,1.9,2.1,1.85,1780410960000,136
2026-06-02 14:37:00+00:00,367,1.9325,1.87,2.05,2.1,1.8,1780411020000,117
2026-06-02 14:38:00+00:00,421,2.0294,2.05,2.0,2.1,1.95,1780411080000,107
2026-06-02 14:39:00+00:00,135,2.0724,1.97,2.1,2.15,1.95,1780411140000,60
2026-06-02 14:40:00+00:00,153,2.1194,2.1,2.15,2.2,2.0,1780411200000,94
