ts,Volume,vw,Open,Close,High,Low,t,n
2026-01-30 14:30:00+00:00,132,10.9182,12.33,10.0,12.53,9.0,1769783400000,53
2026-01-30 14:31:00+00:00,141,12.3172,10.27,14.37,14.37,10.27,1769783460000,80
2026-01-30 14:32:00+00:00,202,13.6195,14.6,13.0,15.6,11.7,1769783520000,91
2026-01-30 14:33:00+00:00,108,12.0027,12.7,10.7,13.17,10.7,1769783580000,64
2026-01-30 14:34:00+00:00,189,9.9337,10.1,10.2,10.5,9.35,1769783640000,73
2026-01-30 14:35:00+00:00,149,10.63,10.5,9.1,11.5,9.1,1769783700000,73
2026-01-30 14:37:00+00:00,139,11.0164,9.75,10.9,12.1,9.75,1769783820000,76
2026-01-30 14:38:00+00:00,93,9.8071,10.8,9.9,10.8,9.3,1769783880000,37
2026-01-30 14:39:00+00:00,162,9.2298,9.7,8.5,9.7,8.5,1769783940000,69
2026-01-30 14:40:00+00:00,206,8.4582,8.6,8.42,9.3,7.95,1769784000000,85
2026-01-30 14:41:00+00:00,142,8.7037,8.54,8.6,9.0,8.4,1769784060000,55
2026-01-30 14:42:00+00:00,93,8.6462,8.7,8.95,9.2,8.2,1769784120000,35
2026-01-30 14:43:00+00:00,157,9.7129,9.06,9.4,10.3,9.06,1769784180000,74
2026-01-30 14:44:00+00:00,143,9.492,9.6,9.7,9.95,9.0,1769784240000,52
2026-01-30 14:45:00+00:00,171,10.4849,9.9,10.8,11.0,9.6,1769784300000,84
2026-01-30 14:46:00+00:00,282,11.6281,10.9,11.7,12.5,10.9,1769784360000,105
2026-01-30 14:47:00+00:00,218,10.5034,11.5,10.2,12.0,9.3,1769784420000,88
2026-01-30 14:48:00+00:00,95,10.3603,10.15,10.5,10.8,9.73,1769784480000,39
2026-01-30 14:49:00+00:00,163,9.5845,10.6,9.5,10.8,8.6,1769784540000,63
2026-01-30 14:50:00+00:00,310,8.4743,9.6,8.9,10.3,7.7,1769784600000,99
2026-01-30 14:51:00+00:00,144,8.2051,8.8,7.7,8.8,7.5,1769784660000,54
2026-01-30 14:52:00+00:00,131,8.3306,7.7,9.0,9.0,7.5,1769784720000,51
2026-01-30 14:53:00+00:00,162,9.7688,9.0,9.65,10.3,8.9,1769784780000,63
2026-01-30 14:54:00+00:00,211,10.2843,9.72,9.9,11.1,9.72,1769784840000,96
2026-01-30 14:55:00+00:00,234,9.4996,9.6,9.3,10.15,8.7,1769784900000,89
2026-01-30 14:56:00+00:00,114,9.2654,9.4,8.08,10.4,8.0,1769784960000,46
2026-01-30 14:57:00+00:00,262,8.7542,8.5,9.5,9.5,8.5,1769785020000,62
2026-01-30 14:58:00+00:00,201,10.0049,9.6,10.8,11.1,9.0,1769785080000,78
2026-01-30 14:59:00+00:00,336,12.2256,10.9,11.6,13.5,10.9,1769785140000,150
2026-01-30 15:01:00+00:00,245,10.147,11.2,9.1,11.5,8.9,1769785260000,94
2026-01-30 15:02:00+00:00,191,10.258,8.97,11.0,11.2,8.53,1769785320000,85
2026-01-30 15:03:00+00:00,137,10.6795,10.9,10.2,11.7,9.9,1769785380000,65
2026-01-30 15:04:00+00:00,209,10.7798,10.5,11.1,11.5,10.0,1769785440000,85
2026-01-30 15:05:00+00:00,201,9.2112,11.3,9.1,11.3,8.63,1769785500000,78
2026-01-30 15:06:00+00:00,305,7.6907,8.76,6.8,8.9,6.8,1769785560000,114
2026-01-30 15:07:00+00:00,156,6.7634,6.71,6.5,7.4,6.4,1769785620000,88
2026-01-30 15:08:00+00:00,123,7.001,6.4,7.1,7.7,6.36,1769785680000,51
2026-01-30 15:09:00+00:00,169,7.079,7.0,6.7,7.46,6.7,1769785740000,47
2026-01-30 15:10:00+00:00,92,6.928,6.6,6.9,7.22,6.5,1769785800000,52
