ts,Volume,vw,Open,Close,High,Low,t,n
2026-06-02 13:30:00+00:00,189,9.7528,9.9,9.8,10.77,9.1,1780407000000,98
2026-06-02 13:32:00+00:00,262,8.2305,8.27,8.4,8.8,7.7,1780407120000,103
2026-06-02 13:34:00+00:00,164,8.172,8.2,8.42,8.5,7.9,1780407240000,89
2026-06-02 13:35:00+00:00,275,8.4758,8.5,8.6,9.19,8.0,1780407300000,161
2026-06-02 13:36:00+00:00,139,8.5755,8.6,8.6,9.05,8.17,1780407360000,91
2026-06-02 13:37:00+00:00,167,8.8391,8.6,8.9,9.2,8.4,1780407420000,82
2026-06-02 13:38:00+00:00,254,9.1296,8.9,9.0,9.7,8.4,1780407480000,109
2026-06-02 13:39:00+00:00,201,9.4596,9.0,9.9,9.9,8.8,1780407540000,90
2026-06-02 13:40:00+00:00,437,10.2778,10.0,9.8,11.0,9.7,1780407600000,207
2026-06-02 13:41:00+00:00,282,10.1841,10.0,9.4,10.77,9.4,1780407660000,120
2026-06-02 13:42:00+00:00,195,9.7652,9.5,8.7,10.3,8.7,1780407720000,101
2026-06-02 13:43:00+00:00,146,9.0021,8.8,9.0,9.6,8.6,1780407780000,84
2026-06-02 13:44:00+00:00,183,8.6642,9.0,8.15,9.2,8.1,1780407840000,93
2026-06-02 13:45:00+00:00,330,7.5463,8.1,7.4,8.2,7.1,1780407900000,154
2026-06-02 13:46:00+00:00,268,7.1873,7.3,6.9,7.4,6.78,1780407960000,91
2026-06-02 13:47:00+00:00,281,7.0659,6.85,7.1,7.6,6.8,1780408020000,95
2026-06-02 13:48:00+00:00,121,7.3834,7.3,7.1,7.6,7.1,1780408080000,42
2026-06-02 13:49:00+00:00,252,6.9209,7.1,6.8,7.2,6.75,1780408140000,68
2026-06-02 13:50:00+00:00,254,7.0107,6.8,6.9,7.6,6.7,1780408200000,77
2026-06-02 13:51:00+00:00,38,7.0163,7.05,7.0,7.3,6.8,1780408260000,28
2026-06-02 13:52:00+00:00,204,7.1208,7.05,7.0,7.45,6.8,1780408320000,85
2026-06-02 13:53:00+00:00,165,6.488,7.1,6.35,7.1,6.2,1780408380000,70
2026-06-02 13:54:00+00:00,134,7.0571,6.4,7.1,7.25,6.4,1780408440000,49
2026-06-02 13:55:00+00:00,98,7.3434,7.2,7.6,7.6,6.91,1780408500000,55
2026-06-02 13:56:00+00:00,82,7.3248,7.4,6.93,7.6,6.93,1780408560000,50
2026-06-02 13:57:00+00:00,65,7.2082,7.2,6.9,7.41,6.87,1780408620000,28
2026-06-02 13:58:00+00:00,111,6.8795,6.9,6.8,7.4,6.4,1780408680000,64
2026-06-02 13:59:00+00:00,63,7.0737,6.9,6.9,7.4,6.7,1780408740000,34
2026-06-02 14:00:00+00:00,293,7.0777,6.59,7.0,8.0,6.35,1780408800000,142
