ts,Open,High,Low,Close,Volume
2026-04-08 13:30:00+00:00,16.7,19.2,16.2,18.9,293
2026-04-08 13:32:00+00:00,24.5,24.55,20.8,21.1,90
2026-04-08 13:33:00+00:00,20.4,23.6,19.9,21.35,131
2026-04-08 13:34:00+00:00,21.3,21.3,19.1,19.7,135
2026-04-08 13:35:00+00:00,19.8,22.0,18.4,20.1,190
2026-04-08 13:36:00+00:00,19.7,20.0,17.98,18.6,201
2026-04-08 13:37:00+00:00,18.4,20.1,17.8,19.8,162
2026-04-08 13:38:00+00:00,19.4,22.5,19.2,19.4,265
2026-04-08 13:39:00+00:00,19.6,23.5,19.54,22.7,176
2026-04-08 13:40:00+00:00,22.0,24.1,21.2,22.9,167
2026-04-08 13:41:00+00:00,24.0,26.0,23.8,24.4,102
2026-04-08 13:42:00+00:00,24.2,25.14,20.8,25.14,162
2026-04-08 13:43:00+00:00,25.45,25.45,22.4,22.8,68
2026-04-08 13:44:00+00:00,22.5,23.0,20.4,23.0,81
2026-04-08 13:45:00+00:00,23.1,23.5,21.6,22.38,16
2026-04-08 13:46:00+00:00,22.0,22.0,17.08,17.2,94
2026-04-08 13:47:00+00:00,17.3,18.2,16.6,17.5,179
2026-04-08 13:48:00+00:00,17.4,20.5,16.6,17.9,215
2026-04-08 13:49:00+00:00,18.03,18.4,17.0,17.05,133
2026-04-08 13:50:00+00:00,17.5,20.03,17.5,19.2,102
2026-04-08 13:51:00+00:00,20.0,29.1,19.7,28.8,318
2026-04-08 13:52:00+00:00,27.6,29.4,24.5,24.9,71
2026-04-08 13:53:00+00:00,25.7,29.1,25.6,28.6,46
2026-04-08 13:54:00+00:00,28.1,29.7,27.3,29.0,29
2026-04-08 13:55:00+00:00,29.3,30.0,25.89,28.54,45
2026-04-08 13:56:00+00:00,26.8,27.17,26.0,26.0,19
2026-04-08 13:57:00+00:00,26.22,27.7,25.3,27.7,13
2026-04-08 13:58:00+00:00,27.1,28.89,27.0,28.89,12
2026-04-08 13:59:00+00:00,26.5,26.5,23.3,23.3,51
2026-04-08 14:00:00+00:00,23.5,23.7,22.25,23.7,38
2026-04-08 14:01:00+00:00,24.2,24.5,22.9,23.1,24
2026-04-08 14:02:00+00:00,23.0,23.8,22.7,23.0,22
2026-04-08 14:03:00+00:00,22.82,23.6,22.5,23.3,14
2026-04-08 14:04:00+00:00,23.1,23.1,21.7,22.1,20
2026-04-08 14:05:00+00:00,21.6,23.0,21.15,21.15,24
2026-04-08 14:06:00+00:00,21.0,25.0,21.0,22.1,39
2026-04-08 14:07:00+00:00,21.8,22.0,20.8,21.9,49
2026-04-08 14:08:00+00:00,21.6,28.5,21.0,28.5,59
2026-04-08 14:09:00+00:00,26.5,26.5,23.2,23.2,29
2026-04-08 14:10:00+00:00,22.13,22.7,21.5,22.3,24
2026-04-08 14:11:00+00:00,23.8,25.0,22.6,22.6,15
2026-04-08 14:12:00+00:00,22.3,23.47,21.9,22.3,74
2026-04-08 14:13:00+00:00,22.5,22.5,21.6,21.9,11
2026-04-08 14:14:00+00:00,21.55,21.6,20.4,21.6,15
2026-04-08 14:15:00+00:00,21.5,21.8,20.33,21.6,7
2026-04-08 14:16:00+00:00,20.7,21.5,20.7,21.0,12
2026-04-08 14:17:00+00:00,20.6,21.6,19.6,21.4,20
