ts,Volume,vw,Open,Close,High,Low,t,n
2026-05-04 13:30:00+00:00,3,34.95,35.62,34.93,35.62,34.3,1777901400000,3
2026-05-04 13:31:00+00:00,14,30.6693,32.0,32.47,32.8,29.64,1777901460000,10
2026-05-04 13:32:00+00:00,2,32.035,32.67,31.4,32.67,31.4,1777901520000,2
2026-05-04 13:33:00+00:00,9,33.9789,34.13,33.88,34.13,33.7,1777901580000,3
2026-05-04 13:34:00+00:00,3,33.3167,33.6,32.75,33.6,32.75,1777901640000,2
2026-05-04 13:36:00+00:00,3,34.1533,33.5,34.48,34.48,33.5,1777901760000,2
2026-05-04 13:37:00+00:00,7,30.6314,30.0,30.81,30.81,30.0,1777901820000,6
2026-05-04 13:38:00+00:00,12,30.8408,30.66,30.01,31.5,29.48,1777901880000,7
2026-05-04 13:39:00+00:00,10,32.1,32.1,32.1,32.1,32.1,1777901940000,1
2026-05-04 13:40:00+00:00,6,31.145,31.13,31.22,31.22,31.13,1777902000000,2
2026-05-04 13:41:00+00:00,2,32.67,32.67,32.67,32.67,32.67,1777902060000,2
2026-05-04 13:42:00+00:00,2,34.66,34.66,34.66,34.66,34.66,1777902120000,1
2026-05-04 13:43:00+00:00,2,33.78,33.78,33.78,33.78,33.78,1777902180000,1
2026-05-04 13:45:00+00:00,13,34.4615,32.0,35.2,35.2,32.0,1777902300000,6
2026-05-04 13:46:00+00:00,17,35.3547,35.72,34.57,35.9,34.57,1777902360000,5
2026-05-04 13:47:00+00:00,10,34.68,34.68,34.68,34.68,34.68,1777902420000,1
2026-05-04 13:48:00+00:00,31,37.1471,37.17,37.1,37.17,37.1,1777902480000,4
2026-05-04 13:49:00+00:00,4,37.78,37.89,37.45,37.89,37.45,1777902540000,2
2026-05-04 13:50:00+00:00,16,36.64,35.74,36.7,36.7,35.74,1777902600000,2
2026-05-04 13:53:00+00:00,21,33.8286,33.75,35.4,35.4,33.75,1777902780000,4
2026-05-04 13:54:00+00:00,2,36.25,36.25,36.25,36.25,36.25,1777902840000,1
2026-05-04 13:55:00+00:00,1,35.35,35.35,35.35,35.35,35.35,1777902900000,1
2026-05-04 13:56:00+00:00,1,36.25,36.25,36.25,36.25,36.25,1777902960000,1
2026-05-04 13:57:00+00:00,2,36.9,36.9,36.9,36.9,36.9,1777903020000,2
2026-05-04 13:58:00+00:00,11,37.7536,37.82,37.09,37.82,37.09,1777903080000,2
2026-05-04 14:00:00+00:00,3,37.2267,37.29,37.1,37.29,37.1,1777903200000,2
2026-05-04 14:01:00+00:00,1,36.2,36.2,36.2,36.2,36.2,1777903260000,1
2026-05-04 14:02:00+00:00,28,35.1893,35.5,35.1,35.5,35.1,1777903320000,4
2026-05-04 14:03:00+00:00,1,36.3,36.3,36.3,36.3,36.3,1777903380000,1
2026-05-04 14:05:00+00:00,6,34.9483,34.4,34.96,35.21,34.4,1777903500000,4
2026-05-04 14:07:00+00:00,11,36.1364,36.1,36.5,36.5,36.1,1777903620000,2
2026-05-04 14:08:00+00:00,6,32.9833,32.3,33.2,33.5,32.3,1777903680000,5
2026-05-04 14:09:00+00:00,8,32.9875,34.8,31.8,34.8,31.8,1777903740000,4
2026-05-04 14:10:00+00:00,2,33.55,33.1,34.0,34.0,33.1,1777903800000,2
2026-05-04 14:11:00+00:00,4,36.65,34.7,37.6,37.6,34.7,1777903860000,4
2026-05-04 14:12:00+00:00,20,40.496,37.7,41.61,41.76,37.7,1777903920000,7
2026-05-04 14:14:00+00:00,1,41.37,41.37,41.37,41.37,41.37,1777904040000,1
2026-05-04 14:15:00+00:00,1,39.35,39.35,39.35,39.35,39.35,1777904100000,1
2026-05-04 14:17:00+00:00,3,41.5467,41.47,41.7,41.7,41.47,1777904220000,2
2026-05-04 14:18:00+00:00,5,40.63,40.63,40.63,40.63,40.63,1777904280000,1
2026-05-04 14:19:00+00:00,4,43.315,43.64,42.8,43.64,42.8,1777904340000,4
2026-05-04 14:20:00+00:00,12,44.5733,44.78,43.45,44.78,43.45,1777904400000,3
2026-05-04 14:21:00+00:00,1,45.3,45.3,45.3,45.3,45.3,1777904460000,1
2026-05-04 14:22:00+00:00,15,46.17,46.17,46.17,46.17,46.17,1777904520000,3
2026-05-04 14:23:00+00:00,1,45.32,45.32,45.32,45.32,45.32,1777904580000,1
2026-05-04 14:24:00+00:00,2,42.93,43.05,42.81,43.05,42.81,1777904640000,2
2026-05-04 14:25:00+00:00,2,43.3,43.3,43.3,43.3,43.3,1777904700000,1
2026-05-04 14:29:00+00:00,4,43.86,44.02,43.7,44.02,43.7,1777904940000,2
2026-05-04 14:30:00+00:00,2,45.0,45.0,45.0,45.0,45.0,1777905000000,2
2026-05-04 14:31:00+00:00,3,45.6333,45.1,45.9,45.9,45.1,1777905060000,2
2026-05-04 14:32:00+00:00,3,46.8667,46.3,47.3,47.3,46.3,1777905120000,3
2026-05-04 14:33:00+00:00,1,47.1,47.1,47.1,47.1,47.1,1777905180000,1
2026-05-04 14:34:00+00:00,1,47.1,47.1,47.1,47.1,47.1,1777905240000,1
2026-05-04 14:36:00+00:00,3,45.88,45.88,45.88,45.88,45.88,1777905360000,3
2026-05-04 14:38:00+00:00,2,48.85,48.6,49.1,49.1,48.6,1777905480000,2
2026-05-04 14:39:00+00:00,10,49.05,49.05,49.05,49.05,49.05,1777905540000,1
2026-05-04 14:43:00+00:00,1,50.1,50.1,50.1,50.1,50.1,1777905780000,1
2026-05-04 14:48:00+00:00,8,48.0975,48.27,47.58,48.27,47.58,1777906080000,2
2026-05-04 14:50:00+00:00,1,47.55,47.55,47.55,47.55,47.55,1777906200000,1
2026-05-04 14:53:00+00:00,2,48.1,48.1,48.1,48.1,48.1,1777906380000,2
2026-05-04 14:54:00+00:00,2,48.1,48.1,48.1,48.1,48.1,1777906440000,2
2026-05-04 14:56:00+00:00,3,45.79,45.79,45.79,45.79,45.79,1777906560000,3
2026-05-04 14:57:00+00:00,2,42.83,43.86,41.8,43.86,41.8,1777906620000,2
2026-05-04 14:59:00+00:00,14,39.9271,39.57,40.07,40.07,39.57,1777906740000,2
2026-05-04 15:00:00+00:00,30,37.0213,37.6,38.2,38.2,36.82,1777906800000,8
2026-05-04 15:01:00+00:00,2,41.285,40.99,41.58,41.58,40.99,1777906860000,2
2026-05-04 15:04:00+00:00,5,41.024,41.18,40.4,41.18,40.4,1777907040000,4
2026-05-04 15:07:00+00:00,7,39.8514,40.12,39.18,40.12,39.18,1777907220000,6
2026-05-04 15:09:00+00:00,2,38.475,38.1,38.85,38.85,38.1,1777907340000,2
2026-05-04 15:10:00+00:00,2,38.785,38.67,38.9,38.9,38.67,1777907400000,2
2026-05-04 15:13:00+00:00,5,33.952,33.92,33.92,34.0,33.92,1777907580000,3
2026-05-04 15:14:00+00:00,8,33.1738,33.35,33.97,33.97,32.5,1777907640000,8
2026-05-04 15:15:00+00:00,1,33.1,33.1,33.1,33.1,33.1,1777907700000,1
2026-05-04 15:16:00+00:00,1,34.7,34.7,34.7,34.7,34.7,1777907760000,1
2026-05-04 15:17:00+00:00,43,31.4226,33.54,32.32,33.54,31.12,1777907820000,13
2026-05-04 15:18:00+00:00,5,30.698,31.49,30.5,31.49,30.5,1777907880000,5
2026-05-04 15:19:00+00:00,8,26.6038,29.55,24.48,30.2,24.48,1777907940000,5
2026-05-04 15:20:00+00:00,37,24.3908,25.8,23.44,25.9,23.3,1777908000000,29
2026-05-04 15:21:00+00:00,83,21.0796,23.1,19.7,23.1,19.22,1777908060000,42
2026-05-04 15:22:00+00:00,101,20.3212,19.4,21.85,22.4,18.84,1777908120000,66
2026-05-04 15:23:00+00:00,108,21.1572,22.5,20.3,22.5,20.2,1777908180000,53
2026-05-04 15:24:00+00:00,48,19.7481,20.2,19.1,20.3,19.1,1777908240000,24
2026-05-04 15:25:00+00:00,53,19.6208,18.9,19.4,20.6,18.9,1777908300000,36
2026-05-04 15:26:00+00:00,53,21.1085,18.93,22.9,23.5,18.7,1777908360000,31
2026-05-04 15:27:00+00:00,20,22.919,23.2,23.03,23.3,22.09,1777908420000,10
2026-05-04 15:28:00+00:00,17,23.2376,23.89,22.6,24.5,22.6,1777908480000,14
2026-05-04 15:29:00+00:00,15,22.3647,22.9,22.7,22.9,21.7,1777908540000,10
2026-05-04 15:30:00+00:00,13,22.2415,22.7,21.3,23.1,20.8,1777908600000,10
2026-05-04 15:31:00+00:00,24,20.5462,21.22,20.6,21.69,20.27,1777908660000,16
2026-05-04 15:32:00+00:00,54,18.8726,20.0,18.3,20.6,17.96,1777908720000,24
2026-05-04 15:33:00+00:00,84,19.1496,18.3,20.2,20.2,18.25,1777908780000,49
2026-05-04 15:34:00+00:00,39,20.4928,20.1,21.3,21.3,19.7,1777908840000,24
2026-05-04 15:35:00+00:00,138,18.0143,18.7,17.92,18.8,17.3,1777908900000,49
2026-05-04 15:36:00+00:00,28,18.4457,17.3,19.2,19.7,17.0,1777908960000,23
2026-05-04 15:37:00+00:00,48,19.4362,18.98,19.7,20.3,18.2,1777909020000,32
2026-05-04 15:38:00+00:00,26,20.5973,19.6,20.4,22.29,19.2,1777909080000,17
2026-05-04 15:39:00+00:00,31,19.8645,21.2,18.6,21.2,18.6,1777909140000,19
2026-05-04 15:40:00+00:00,79,17.3166,18.28,17.1,18.7,16.55,1777909200000,41
2026-05-04 15:41:00+00:00,64,18.337,17.21,19.0,19.17,17.1,1777909260000,29
2026-05-04 15:42:00+00:00,18,18.7589,18.8,19.1,19.3,18.5,1777909320000,12
2026-05-04 15:43:00+00:00,14,18.4836,19.37,19.2,19.37,18.2,1777909380000,7
2026-05-04 15:44:00+00:00,63,20.1654,19.2,21.2,21.3,18.98,1777909440000,35
2026-05-04 15:45:00+00:00,10,20.19,19.7,19.8,20.8,19.6,1777909500000,8
2026-05-04 15:46:00+00:00,40,19.309,18.8,19.3,20.4,18.6,1777909560000,30
2026-05-04 15:47:00+00:00,31,18.9803,19.3,18.3,19.4,18.3,1777909620000,21
2026-05-04 15:48:00+00:00,38,18.1921,17.9,17.3,19.1,17.3,1777909680000,22
2026-05-04 15:49:00+00:00,71,17.0437,17.4,16.97,17.55,16.2,1777909740000,35
2026-05-04 15:50:00+00:00,68,16.775,16.8,16.8,17.36,16.5,1777909800000,26
2026-05-04 15:51:00+00:00,192,15.7258,16.76,15.2,16.82,14.9,1777909860000,68
2026-05-04 15:52:00+00:00,181,15.6465,14.7,15.7,20.0,14.2,1777909920000,82
2026-05-04 15:53:00+00:00,58,17.2817,16.3,17.5,19.4,16.3,1777909980000,31
2026-05-04 15:54:00+00:00,65,18.774,18.5,18.76,19.42,18.3,1777910040000,25
2026-05-04 15:55:00+00:00,58,19.014,19.9,18.3,19.9,18.2,1777910100000,17
2026-05-04 15:56:00+00:00,29,18.2,18.4,17.8,18.8,17.5,1777910160000,14
2026-05-04 15:57:00+00:00,35,18.0154,18.58,16.9,18.9,16.9,1777910220000,20
2026-05-04 15:58:00+00:00,41,17.341,16.7,17.7,17.7,16.5,1777910280000,21
2026-05-04 15:59:00+00:00,84,16.378,17.5,16.0,18.2,15.71,1777910340000,29
2026-05-04 16:00:00+00:00,43,16.1835,16.1,16.0,16.6,15.6,1777910400000,26
2026-05-04 16:01:00+00:00,86,14.2208,16.08,14.2,16.08,13.6,1777910460000,51
2026-05-04 16:02:00+00:00,178,13.8435,14.2,14.4,14.8,13.2,1777910520000,88
