ts,Open,High,Low,Close,Volume
2026-04-10 13:30:00+00:00,15.8,16.2,14.7,16.1,166
2026-04-10 13:31:00+00:00,16.6,18.3,15.7,15.78,151
2026-04-10 13:32:00+00:00,16.0,16.8,14.0,14.83,187
2026-04-10 13:33:00+00:00,14.8,14.8,13.46,14.7,115
2026-04-10 13:34:00+00:00,14.13,14.13,12.13,12.6,216
2026-04-10 13:35:00+00:00,12.5,12.5,10.9,10.9,347
2026-04-10 13:36:00+00:00,10.82,11.9,10.82,11.4,184
2026-04-10 13:37:00+00:00,11.6,13.0,10.7,12.9,452
2026-04-10 13:38:00+00:00,12.8,13.19,11.9,12.0,185
2026-04-10 13:39:00+00:00,11.9,11.92,10.6,11.1,192
2026-04-10 13:40:00+00:00,11.1,12.0,10.2,12.0,174
2026-04-10 13:41:00+00:00,12.0,12.0,11.0,11.8,259
2026-04-10 13:42:00+00:00,11.8,12.5,11.38,11.38,513
2026-04-10 13:43:00+00:00,11.28,11.37,10.21,10.21,337
2026-04-10 13:44:00+00:00,10.22,11.4,10.2,11.4,292
2026-04-10 13:45:00+00:00,11.5,11.96,10.6,10.9,451
2026-04-10 13:46:00+00:00,10.7,11.1,10.15,10.5,215
2026-04-10 13:47:00+00:00,10.5,10.6,9.3,9.6,213
2026-04-10 13:48:00+00:00,9.7,10.3,9.13,10.2,353
2026-04-10 13:49:00+00:00,10.0,10.6,9.5,9.6,250
2026-04-10 13:50:00+00:00,9.5,9.8,8.4,8.5,299
2026-04-10 13:51:00+00:00,8.56,9.2,8.56,9.17,155
2026-04-10 13:52:00+00:00,9.2,10.3,9.0,9.83,343
2026-04-10 13:53:00+00:00,9.8,10.55,9.6,9.8,243
2026-04-10 13:54:00+00:00,10.0,10.85,9.7,10.6,277
2026-04-10 13:55:00+00:00,10.4,11.0,9.7,10.6,295
2026-04-10 13:56:00+00:00,10.71,10.8,10.01,10.5,205
2026-04-10 13:57:00+00:00,10.4,11.0,10.3,10.3,237
2026-04-10 13:58:00+00:00,10.36,10.5,9.68,10.12,240
2026-04-10 13:59:00+00:00,10.21,10.5,9.9,10.36,165
2026-04-10 14:00:00+00:00,10.2,10.2,8.4,8.4,319
2026-04-10 14:01:00+00:00,8.3,8.5,7.2,7.4,446
2026-04-10 14:02:00+00:00,7.4,9.5,7.4,8.5,270
2026-04-10 14:03:00+00:00,8.2,9.5,8.13,8.7,231
2026-04-10 14:04:00+00:00,8.5,9.7,8.5,8.96,172
2026-04-10 14:05:00+00:00,8.7,9.8,8.6,9.2,196
2026-04-10 14:06:00+00:00,9.1,9.3,8.8,9.1,68
2026-04-10 14:07:00+00:00,8.73,8.8,7.7,8.3,143
2026-04-10 14:08:00+00:00,8.32,9.1,8.2,9.1,96
2026-04-10 14:09:00+00:00,8.87,9.1,8.25,8.55,163
2026-04-10 14:10:00+00:00,8.6,8.6,7.5,7.5,135
2026-04-10 14:11:00+00:00,7.5,7.83,7.04,7.7,241
2026-04-10 14:12:00+00:00,7.7,9.4,7.6,9.4,232
2026-04-10 14:13:00+00:00,9.2,11.3,9.1,10.9,760
2026-04-10 14:14:00+00:00,10.93,11.9,10.5,11.4,480
2026-04-10 14:15:00+00:00,11.6,12.1,10.9,11.6,569
2026-04-10 14:16:00+00:00,11.6,11.8,10.4,10.6,327
2026-04-10 14:17:00+00:00,10.3,12.03,9.9,11.4,660
2026-04-10 14:18:00+00:00,11.5,12.1,11.0,11.4,362
2026-04-10 14:19:00+00:00,11.4,12.2,10.9,12.0,496
2026-04-10 14:20:00+00:00,12.0,12.5,11.4,11.9,458
2026-04-10 14:21:00+00:00,11.8,11.8,10.7,11.3,231
2026-04-10 14:22:00+00:00,11.3,11.4,10.8,10.9,98
2026-04-10 14:23:00+00:00,10.74,11.87,10.7,11.8,186
2026-04-10 14:24:00+00:00,11.7,12.4,11.4,12.32,249
2026-04-10 14:25:00+00:00,12.2,12.8,11.9,12.6,386
2026-04-10 14:26:00+00:00,12.5,12.82,11.7,12.2,534
2026-04-10 14:27:00+00:00,12.4,12.4,11.0,11.7,127
2026-04-10 14:28:00+00:00,11.8,12.3,11.3,12.3,126
2026-04-10 14:29:00+00:00,12.1,12.8,12.0,12.6,246
2026-04-10 14:30:00+00:00,12.8,14.1,12.5,13.8,276
2026-04-10 14:31:00+00:00,14.0,14.33,13.1,13.5,267
