Datetime,Open,High,Low,Close,Volume
2025-04-01 08:00:00+00:00,557.55,557.71,557.39,557.51,11862.0
2025-04-01 08:05:00+00:00,557.4,557.65,557.37,557.61,8745.0
2025-04-01 08:10:00+00:00,557.49,557.6,557.37,557.6,3186.0
2025-04-01 08:15:00+00:00,557.59,557.81,557.59,557.81,4809.0
2025-04-01 08:20:00+00:00,557.87,558.0,557.85,558.0,2977.0
2025-04-01 08:25:00+00:00,558.08,558.4,557.97,558.4,3199.0
2025-04-01 08:30:00+00:00,558.3,558.39,558.1,558.35,6272.0
2025-04-01 08:35:00+00:00,558.43,558.43,558.43,558.43,653.0
2025-04-01 08:40:00+00:00,558.5,558.74,558.5,558.73,4861.0
2025-04-01 08:45:00+00:00,558.49,558.53,558.49,558.53,5089.0
2025-04-01 08:50:00+00:00,558.8,558.87,558.8,558.87,1616.0
2025-04-01 08:55:00+00:00,558.86,559.0,558.86,558.99,3284.0
2025-04-01 09:00:00+00:00,559.06,559.34,558.96,558.96,10447.0
2025-04-01 09:05:00+00:00,558.87,559.2,558.86,559.03,3390.0
2025-04-01 09:10:00+00:00,559.08,559.14,558.9,558.9,1569.0
2025-04-01 09:15:00+00:00,558.97,559.25,558.96,559.21,3115.0
2025-04-01 09:20:00+00:00,559.2,559.3,559.2,559.28,1249.0
2025-04-01 09:25:00+00:00,559.0,559.01,558.99,559.01,3229.0
2025-04-01 09:30:00+00:00,559.25,559.53,559.25,559.53,739.0
2025-04-01 09:35:00+00:00,559.49,559.57,559.49,559.57,748.0
2025-04-01 09:40:00+00:00,559.65,559.74,559.6,559.69,3529.0
2025-04-01 09:45:00+00:00,559.77,559.81,559.75,559.79,2035.0
2025-04-01 09:50:00+00:00,559.64,559.68,559.61,559.61,909.0
2025-04-01 09:55:00+00:00,559.78,559.79,559.5,559.5,4649.0
2025-04-01 10:00:00+00:00,559.47,559.48,558.64,558.68,18071.0
2025-04-01 10:05:00+00:00,559.03,559.11,558.0,558.03,11370.0
2025-04-01 10:10:00+00:00,557.94,558.25,557.55,557.85,10544.0
2025-04-01 10:15:00+00:00,557.89,558.18,557.73,557.9,6970.0
2025-04-01 10:20:00+00:00,558.09,558.09,557.56,557.62,4671.0
2025-04-01 10:25:00+00:00,557.71,557.8,557.11,557.11,5183.0
2025-04-01 10:30:00+00:00,557.13,557.13,556.0,556.61,92971.0
2025-04-01 10:35:00+00:00,556.53,556.9,556.51,556.72,6618.0
