Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Cash Purchasing Power
"Personal -9129",45879.44,-12740.35,-25.84,-2500.59,-6.40,9315.19,9315.19

SEARCH CRITERIA
Account,Start Date,End  Date,Symbol,Security Type,Covered,Term
"Personal -9129",01/01/2026,02/27/2026,SPY,Stocks  Options  Mutual Funds  Bonds  ETFs  ,All,All,


TAXABLE G&L SUMMARY
Total Gain Realized,Short-Term Gain Realized,Long-Term Gain Realized,Deferred Loss,Total Commissions & Fees
141.32,141.32,.00,.00,209.49,
TAXABLE G&L DETAILS
Symbol,Quantity,Date,Cost/Share $,Total Cost $,Date,Price/Share $,Proceeds $,Gain $,Deferred Loss $,Term,Lot Selection
SPY Jan 05 '26 $689 Call,1,--,--,41.66,--,--,60.34,18.68,--,Short,--
    Sell To Close,1,01/05/2026,.42,41.66,01/05/2026,.60,60.34,18.68,.00,Short,FIFO,
SPY Jan 06 '26 $690 Call,1,--,--,32.66,--,--,21.34,-11.32,--,Short,--
    Sell To Close,1,01/06/2026,.33,32.66,01/06/2026,.21,21.34,-11.32,.00,Short,FIFO,
SPY Jan 08 '26 $690 Call,1,--,--,49.66,--,--,77.34,27.68,--,Short,--
    Sell To Close,1,01/08/2026,.50,49.66,01/08/2026,.77,77.34,27.68,.00,Short,FIFO,
SPY Jan 09 '26 $692 Put w,2,--,--,89.32,--,--,109.68,20.36,--,Short,--
    Sell To Close,1,01/09/2026,.63,62.66,01/09/2026,.97,97.34,34.68,.00,Short,FIFO,
    Sell To Close,1,01/09/2026,.27,26.66,01/09/2026,.12,12.34,-14.32,.00,Short,FIFO,
SPY Jan 12 '26 $693 Put,1,--,--,74.66,--,--,86.34,11.68,--,Short,--
    Sell To Close,1,01/12/2026,.75,74.66,01/12/2026,.86,86.34,11.68,.00,Short,FIFO,
SPY Jan 12 '26 $694 Put,2,--,--,67.32,--,--,15.68,-51.64,--,Short,--
    Sell To Close,1,01/12/2026,.38,37.66,01/12/2026,.13,13.34,-24.32,.00,Short,FIFO,
    Sell To Close,1,01/12/2026,.30,29.66,01/12/2026,.02,2.34,-27.32,.00,Short,FIFO,
SPY Jan 14 '26 $689 Call,1,--,--,27.66,--,--,31.34,3.68,--,Short,--
    Sell To Close,1,01/14/2026,.28,27.66,01/14/2026,.31,31.34,3.68,.00,Short,FIFO,
SPY Jan 14 '26 $690 Call,1,--,--,63.66,--,--,73.34,9.68,--,Short,--
    Sell To Close,1,01/14/2026,.64,63.66,01/14/2026,.73,73.34,9.68,.00,Short,FIFO,
SPY Jan 15 '26 $694 Call,1,--,--,91.66,--,--,119.34,27.68,--,Short,--
    Sell To Close,1,01/15/2026,.92,91.66,01/15/2026,1.19,119.34,27.68,.00,Short,FIFO,
SPY Jan 15 '26 $695 Call,1,--,--,28.66,--,--,35.34,6.68,--,Short,--
    Sell To Close,1,01/15/2026,.29,28.66,01/15/2026,.35,35.34,6.68,.00,Short,FIFO,
SPY Jan 20 '26 $683 Call,1,--,--,101.51,--,--,78.49,-23.02,--,Short,--
    Sell To Close,1,01/20/2026,1.02,101.51,01/20/2026,.78,78.49,-23.02,.00,Short,FIFO,
