date,side,seq_color,n_seq,seq_end_time,entry_time,entry_px,stop_px,exit_time,exit_px,outcome,atr14,risk,vwap_dist_at_seq_end,seq_extension_pct,pnl_return,pnl_r
2025-01-29,LONG,red,4,2025-01-29 13:00:00-05:00,2025-01-29 13:05:00-05:00,600.07,599.3978642857144,2025-01-29 13:30:00-05:00,602.5889702183812,target,0.6721357142857219,0.6721357142857219,0.004431437185576037,0.0045620437956204185,0.0040973791960162405,3.658245228767791
2025-01-31,LONG,red,4,2025-01-31 13:30:00-05:00,2025-01-31 13:35:00-05:00,605.19,604.5193214285714,2025-01-31 14:05:00-05:00,604.5193214285714,stop,0.6706785714285957,0.6706785714285957,0.005271462274273109,0.006309953133427193,-0.0012080957734365025,-1.090185475797533
2025-02-21,LONG,red,4,2025-02-21 13:00:00-05:00,2025-02-21 13:05:00-05:00,603.22,602.6200857142858,2025-02-21 13:10:00-05:00,602.6200857142858,stop,0.5999142857142813,0.5999142857142813,0.005764621367230549,0.0030409704662270887,-0.0010944154393686422,-1.100501031099721
2025-02-26,LONG,red,4,2025-02-26 13:50:00-05:00,2025-02-26 13:55:00-05:00,593.08,592.1525142857143,2025-02-26 13:55:00-05:00,592.1525142857143,stop,0.9274857142857107,0.9274857142857107,0.006658613849325201,0.002170474812397072,-0.0016636845031021512,-1.0638949202144938
2025-03-03,LONG,red,4,2025-03-03 13:05:00-05:00,2025-03-03 13:10:00-05:00,589.96,589.1343857142857,2025-03-03 13:10:00-05:00,589.1343857142857,stop,0.8256142857142825,0.8256142857142825,0.005754433897100175,0.005540665823851709,-0.0014992961874723345,-1.0714070968803906
2025-03-05,LONG,red,4,2025-03-05 11:15:00-05:00,2025-03-05 11:20:00-05:00,574.33,572.8784928571429,2025-03-05 11:55:00-05:00,576.5208841294602,target,1.451507142857151,1.451507142857151,0.004650990107521791,0.004386028774484352,0.003714301749007537,1.4697423955175297
2025-03-06,LONG,red,4,2025-03-06 11:55:00-05:00,2025-03-06 12:00:00-05:00,574.48,573.0711785714286,2025-03-06 12:05:00-05:00,573.0711785714286,stop,1.4088214285714247,1.4088214285714247,0.004352974663054843,0.00452253469875763,-0.0025520917720650294,-1.0407273468197715
2025-03-07,LONG,red,4,2025-03-07 11:25:00-05:00,2025-03-07 11:30:00-05:00,567.67,566.1230857142857,2025-03-07 11:50:00-05:00,566.1230857142857,stop,1.546914285714284,1.546914285714284,0.007080357018847239,0.005187612821816123,-0.0028247463558260617,-1.0366469266004035
2025-03-10,LONG,red,4,2025-03-10 13:40:00-04:00,2025-03-10 13:45:00-04:00,560.75,559.8860785714286,2025-03-10 14:05:00-04:00,559.8860785714286,stop,0.8639214285714242,0.8639214285714242,0.007050295225727754,0.003270529683611856,-0.001640494404169885,-1.0648575230057087
2025-03-11,LONG,red,4,2025-03-11 12:10:00-04:00,2025-03-11 12:15:00-04:00,554.97,553.5285785714286,2025-03-11 13:00:00-04:00,553.5285785714286,stop,1.4414214285714186,1.4414214285714186,0.004889849445177119,0.007315851608056256,-0.0026970314051642966,-1.0384515783031536
2025-03-12,LONG,red,4,2025-03-12 10:45:00-04:00,2025-03-12 10:50:00-04:00,556.22,554.7181857142857,2025-03-12 11:00:00-04:00,554.7181857142857,stop,1.5018142857142769,1.5018142857142769,0.007412620871136699,0.00509775162323145,-0.0027997614807694264,-1.0369865367603803
2025-03-20,LONG,red,4,2025-03-20 13:25:00-04:00,2025-03-20 13:30:00-04:00,564.75,563.8259214285714,2025-03-20 13:45:00-04:00,567.5010475487264,target,0.9240785714285705,0.9240785714285705,0.005080685337351176,0.004110002116103684,0.004770784030694784,2.915807248060638
2025-03-26,LONG,red,4,2025-03-26 11:55:00-04:00,2025-03-26 12:00:00-04:00,570.66,570.0450785714286,2025-03-26 12:50:00-04:00,570.0450785714286,stop,0.6149214285714167,0.6149214285714167,0.004776289451973059,0.0033184295095710636,-0.0011774490701041778,-1.092752100152136
2025-03-28,LONG,red,4,2025-03-28 10:30:00-04:00,2025-03-28 10:35:00-04:00,559.07,557.9099714285715,2025-03-28 11:00:00-04:00,557.9099714285715,stop,1.1600285714285892,1.1600285714285892,0.005508098901145342,0.004132599440673901,-0.0021747129682528673,-1.0481445025985188
2025-04-03,LONG,red,4,2025-04-03 10:45:00-04:00,2025-04-03 10:50:00-04:00,540.88,539.4393022142857,2025-04-03 11:35:00-04:00,543.4810420392799,target,1.4406977857142758,1.4406977857142758,0.006536921610230562,0.003922547142015231,0.004708431911598397,1.7677711539726444
2025-04-04,LONG,red,4,2025-04-04 12:30:00-04:00,2025-04-04 12:35:00-04:00,511.25,508.8726071428572,2025-04-04 13:15:00-04:00,508.8726071428572,stop,2.377392857142837,2.377392857142837,0.013120607779307902,0.010566651184393927,-0.004749687185567323,-1.0214546494509271
2025-04-07,LONG,red,4,2025-04-07 12:05:00-04:00,2025-04-07 12:10:00-04:00,496.4,491.9346428571428,2025-04-07 12:25:00-04:00,499.4802435342041,target,4.465357142857146,4.465357142857146,0.006243724819448682,0.01117064717247962,0.006104548765364649,0.678657815058516
2025-04-08,LONG,red,4,2025-04-08 10:55:00-04:00,2025-04-08 11:00:00-04:00,517.86,515.9924,2025-04-08 11:10:00-04:00,515.9924,stop,1.8676000000000224,1.8676000000000224,0.006837287450569329,0.011378171474389465,-0.003706014483001551,-1.0276786356822494
2025-04-09,LONG,red,4,2025-04-09 10:50:00-04:00,2025-04-09 10:55:00-04:00,494.66,491.65295000000003,2025-04-09 11:15:00-04:00,497.8780304809635,target,3.0070500000000044,3.0070500000000044,0.007622700711338415,0.01293834700516927,0.006404894608783949,1.0536584291712552
2025-04-10,LONG,red,4,2025-04-10 10:55:00-04:00,2025-04-10 11:00:00-04:00,526.29,523.9591785714285,2025-04-10 11:25:00-04:00,523.9591785714285,stop,2.3308214285714337,2.3308214285714337,0.006679676832929249,0.008055017710408952,-0.004528329869014623,-1.0225295933377423
2025-04-15,LONG,red,4,2025-04-15 14:15:00-04:00,2025-04-15 14:20:00-04:00,537.06,536.0556714285714,2025-04-15 16:00:00-04:00,538.09,time_exit,1.0043285714285892,1.0043285714285892,0.005794854958889317,0.0023294694605439092,0.0018176622543393593,0.9720349771702437
2025-04-16,LONG,red,4,2025-04-16 13:45:00-04:00,2025-04-16 13:50:00-04:00,526.07,524.8931785714286,2025-04-16 13:55:00-04:00,524.8931785714286,stop,1.1768214285714376,1.1768214285714376,0.009806596137878487,0.01030947229799628,-0.0023367767067005427,-1.0446526190404357
2025-04-17,LONG,red,4,2025-04-17 10:35:00-04:00,2025-04-17 10:40:00-04:00,524.4,522.9563357142857,2025-04-17 11:05:00-04:00,526.7732812237741,target,1.4436642857142894,1.4436642857142894,0.005099428953729612,0.004404617253949028,0.004425260353520963,1.6075223185040048
2025-04-21,LONG,red,4,2025-04-21 10:55:00-04:00,2025-04-21 11:00:00-04:00,514.58,513.6211642857144,2025-04-21 11:20:00-04:00,513.6211642857144,stop,0.9588357142856856,0.9588357142856856,0.0048625157702397726,0.003447073860335381,-0.0019631452111176753,-1.0536171707503452
2025-04-22,LONG,red,4,2025-04-22 13:25:00-04:00,2025-04-22 13:30:00-04:00,522.57,521.2310785714286,2025-04-22 14:20:00-04:00,524.6929297490609,target,1.3389214285714064,1.3389214285714064,0.004334538839736002,0.00988879837838863,0.0039620779597364,1.5464436959401429
2025-04-23,LONG,red,4,2025-04-23 11:20:00-04:00,2025-04-23 11:25:00-04:00,539.9,537.4712071428571,2025-04-23 11:25:00-04:00,542.3565959788381,target,2.4287928571428665,2.4287928571428665,0.0047877731002241575,0.005381682201672677,0.004449644435798371,0.9891675784427615
2025-04-28,LONG,red,4,2025-04-28 12:10:00-04:00,2025-04-28 12:15:00-04:00,546.26,545.3605642857143,2025-04-28 13:15:00-04:00,545.3605642857143,stop,0.8994357142857032,0.8994357142857032,0.006995015728199938,0.0025747726691741635,-0.0017463644492509316,-1.0606836345804427
2025-05-09,LONG,red,4,2025-05-09 10:35:00-04:00,2025-05-09 10:40:00-04:00,563.29,562.4044571428572,2025-05-09 11:50:00-04:00,565.1866337037917,target,0.8855428571428661,0.8855428571428661,0.004168858603414871,0.004312859036677108,0.0032667327064445657,2.0780585120902697
2025-05-21,LONG,red,4,2025-05-21 13:20:00-04:00,2025-05-21 13:25:00-04:00,586.03,585.0858499999999,2025-05-21 13:25:00-04:00,585.0858499999999,stop,0.9441500000000198,0.9441500000000198,0.007156990464970092,0.00906339302321646,-0.0017109288939425478,-1.062019586400589
2025-05-30,LONG,red,4,2025-05-30 12:25:00-04:00,2025-05-30 12:30:00-04:00,585.07,584.0468428571429,2025-05-30 12:30:00-04:00,584.0468428571429,stop,1.023157142857136,1.023157142857136,0.004807924444749756,0.005853567362751111,-0.0018485974448437849,-1.0571328095112877
2025-06-11,LONG,red,4,2025-06-11 14:00:00-04:00,2025-06-11 14:05:00-04:00,601.06,600.3532142857142,2025-06-11 14:15:00-04:00,600.3532142857142,stop,0.7067857142857292,0.7067857142857292,0.0040377658699380925,0.0043069889177860254,-0.0012757761855694666,-1.0849913340071766
2025-06-13,LONG,red,4,2025-06-13 14:30:00-04:00,2025-06-13 14:35:00-04:00,596.58,595.7123857142858,2025-06-13 14:35:00-04:00,595.7123857142858,stop,0.8676142857142963,0.8676142857142963,0.004483653365513596,0.0034245431158329565,-0.0015541629720619177,-1.0687109701480035
2025-06-20,LONG,red,4,2025-06-20 13:30:00-04:00,2025-06-20 13:35:00-04:00,593.49,592.8126,2025-06-20 16:00:00-04:00,595.2960216414061,target,0.677400000000018,0.677400000000018,0.00422163433145506,0.0031074680014782086,0.00294275390583373,2.5783618841511555
