date,direction,range_high,range_low,break1_time,retest_time,rebreak1_time,confirm_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,outcome,R_multiple
2025-05-20,SHORT,593.6,592.92,2025-05-20 10:10:00-04:00,2025-05-20 10:15:00-04:00,2025-05-20 10:20:00-04:00,2025-05-20 11:40:00-04:00,2025-05-20 11:40:00-04:00,592.67,593.02,591.9699999999999,2025-05-20 11:45:00-04:00,593.02,SL,-1.0
2025-05-21,LONG,589.6987,588.42,2025-05-21 09:50:00-04:00,2025-05-21 10:25:00-04:00,2025-05-21 10:35:00-04:00,2025-05-21 10:55:00-04:00,2025-05-21 10:55:00-04:00,590.65,589.5987,592.7525999999999,2025-05-21 13:15:00-04:00,589.5987,SL,-1.0
2025-05-22,LONG,583.52,581.67,2025-05-22 10:00:00-04:00,2025-05-22 10:20:00-04:00,2025-05-22 11:20:00-04:00,2025-05-22 11:35:00-04:00,2025-05-22 11:35:00-04:00,583.67,583.42,584.17,2025-05-22 11:40:00-04:00,584.17,TP,2.0
2025-05-23,LONG,577.57,575.6,2025-05-23 10:30:00-04:00,2025-05-23 10:50:00-04:00,2025-05-23 11:00:00-04:00,2025-05-23 11:15:00-04:00,2025-05-23 11:15:00-04:00,577.67,577.47,578.0699999999998,2025-05-23 11:20:00-04:00,578.0699999999998,TP,2.0
2025-05-29,SHORT,593.2,591.34,2025-05-29 09:45:00-04:00,2025-05-29 09:50:00-04:00,2025-05-29 09:55:00-04:00,2025-05-29 10:00:00-04:00,2025-05-29 10:00:00-04:00,590.79,591.44,589.4899999999998,2025-05-29 10:05:00-04:00,589.4899999999998,TP,2.0
2025-05-30,SHORT,589.11,587.66,2025-05-30 09:50:00-04:00,2025-05-30 10:00:00-04:00,2025-05-30 11:40:00-04:00,2025-05-30 12:15:00-04:00,2025-05-30 12:15:00-04:00,587.33,587.76,586.4700000000001,2025-05-30 12:25:00-04:00,586.4700000000001,TP,2.0
2025-06-02,LONG,589.55,587.72,2025-06-02 11:55:00-04:00,2025-06-02 12:00:00-04:00,2025-06-02 12:05:00-04:00,2025-06-02 12:10:00-04:00,2025-06-02 12:10:00-04:00,589.66,589.4499999999999,590.08,2025-06-02 12:15:00-04:00,589.4499999999999,SL,-1.0
2025-06-04,SHORT,597.605,596.79,2025-06-04 12:05:00-04:00,2025-06-04 12:45:00-04:00,2025-06-04 12:50:00-04:00,2025-06-04 15:40:00-04:00,2025-06-04 15:40:00-04:00,596.74,596.89,596.44,2025-06-04 15:45:00-04:00,596.89,SL,-1.0
2025-06-05,SHORT,597.905,596.05,2025-06-05 09:45:00-04:00,2025-06-05 10:25:00-04:00,2025-06-05 10:30:00-04:00,2025-06-05 10:35:00-04:00,2025-06-05 10:35:00-04:00,595.95,596.15,595.5500000000002,2025-06-05 10:40:00-04:00,596.15,SL_both,-1.0
2025-06-06,LONG,599.1773,598.06,2025-06-06 09:40:00-04:00,2025-06-06 10:30:00-04:00,2025-06-06 10:35:00-04:00,2025-06-06 10:40:00-04:00,2025-06-06 10:40:00-04:00,599.65,599.0772999999999,600.7954000000001,2025-06-06 11:05:00-04:00,599.0772999999999,SL,-1.0
2025-06-10,LONG,600.96,600.22,2025-06-10 10:30:00-04:00,2025-06-10 11:35:00-04:00,2025-06-10 11:50:00-04:00,2025-06-10 11:55:00-04:00,2025-06-10 11:55:00-04:00,601.27,600.86,602.0899999999999,2025-06-10 12:45:00-04:00,602.0899999999999,TP,2.0
2025-06-11,LONG,604.25,602.88,2025-06-11 10:20:00-04:00,2025-06-11 11:05:00-04:00,2025-06-11 11:10:00-04:00,2025-06-11 11:15:00-04:00,2025-06-11 11:15:00-04:00,604.67,604.15,605.7099999999999,2025-06-11 11:25:00-04:00,604.15,SL,-1.0
2025-06-13,SHORT,600.37,598.16,2025-06-13 10:20:00-04:00,2025-06-13 10:35:00-04:00,2025-06-13 10:40:00-04:00,2025-06-13 10:45:00-04:00,2025-06-13 10:45:00-04:00,597.74,598.26,596.7,2025-06-13 10:50:00-04:00,598.26,SL,-1.0
2025-06-17,LONG,600.88,599.95,2025-06-17 10:10:00-04:00,2025-06-17 10:40:00-04:00,2025-06-17 10:45:00-04:00,2025-06-17 11:00:00-04:00,2025-06-17 11:00:00-04:00,600.97,600.78,601.3500000000001,2025-06-17 11:10:00-04:00,601.3500000000001,TP,2.0
2025-06-18,LONG,598.45,597.36,2025-06-18 09:50:00-04:00,2025-06-18 13:30:00-04:00,2025-06-18 13:35:00-04:00,2025-06-18 13:40:00-04:00,2025-06-18 13:40:00-04:00,599.27,598.35,601.1099999999999,2025-06-18 14:50:00-04:00,598.35,SL,-1.0
2025-06-23,LONG,595.08,593.6,2025-06-23 09:40:00-04:00,2025-06-23 12:20:00-04:00,2025-06-23 13:05:00-04:00,2025-06-23 13:10:00-04:00,2025-06-23 13:10:00-04:00,595.6,594.98,596.84,2025-06-23 13:20:00-04:00,596.84,TP,2.0
2025-06-24,LONG,604.78,603.94,2025-06-24 09:40:00-04:00,2025-06-24 09:50:00-04:00,2025-06-24 10:20:00-04:00,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,604.97,604.68,605.5500000000002,2025-06-24 10:55:00-04:00,604.68,SL,-1.0
2025-06-25,SHORT,608.3536,607.75,2025-06-25 10:20:00-04:00,2025-06-25 10:30:00-04:00,2025-06-25 10:35:00-04:00,2025-06-25 10:50:00-04:00,2025-06-25 10:50:00-04:00,607.7,607.85,607.4000000000001,2025-06-25 10:55:00-04:00,607.85,SL,-1.0
