alert_time,entry_time,exit_time,side,entry_underlying,exit_underlying,target_pct,exit_reason,option_pnl_pct,win
2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,BUY,684.5,684.5,10.0,TARGET_HIT,10.0,1
2026-01-02 10:20:00-05:00,2026-01-02 10:20:00-05:00,2026-01-02 10:25:00-05:00,SELL,682.125,682.45,10.0,TARGET_HIT,10.0,1
