date,direction,range_high,range_low,break1_time,retest_time,rebreak1_time,confirm_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,outcome,R_multiple
2025-12-04,SHORT,685.37,683.8,2025-12-04 09:50:00-05:00,2025-12-04 10:30:00-05:00,2025-12-04 10:45:00-05:00,2025-12-04 10:50:00-05:00,2025-12-04 10:50:00-05:00,683.41,683.9,682.43,2025-12-04 11:05:00-05:00,682.43,TP,2.0
2025-12-05,LONG,686.56,685.38,2025-12-05 10:00:00-05:00,2025-12-05 11:05:00-05:00,2025-12-05 13:05:00-05:00,2025-12-05 13:30:00-05:00,2025-12-05 13:30:00-05:00,686.86,686.4599999999999,687.6600000000002,2025-12-05 13:40:00-05:00,686.4599999999999,SL,-1.0
2025-12-09,LONG,683.6801,682.82,2025-12-09 09:50:00-05:00,2025-12-09 13:40:00-05:00,2025-12-09 13:45:00-05:00,2025-12-09 13:50:00-05:00,2025-12-09 13:50:00-05:00,684.21,683.5801,685.4698000000001,2025-12-09 14:35:00-05:00,683.5801,SL,-1.0
2025-12-10,LONG,682.76,682.06,2025-12-10 10:05:00-05:00,2025-12-10 10:30:00-05:00,2025-12-10 10:45:00-05:00,2025-12-10 11:10:00-05:00,2025-12-10 11:10:00-05:00,683.1152,682.66,684.0255999999999,2025-12-10 12:55:00-05:00,684.0255999999999,TP,2.0
2025-12-11,LONG,685.36,684.48,2025-12-11 10:25:00-05:00,2025-12-11 10:45:00-05:00,2025-12-11 10:55:00-05:00,2025-12-11 11:00:00-05:00,2025-12-11 11:00:00-05:00,685.74,685.26,686.7,2025-12-11 11:05:00-05:00,685.26,SL,-1.0
2025-12-16,SHORT,680.51,678.83,2025-12-16 10:20:00-05:00,2025-12-16 10:50:00-05:00,2025-12-16 11:00:00-05:00,2025-12-16 11:05:00-05:00,2025-12-16 11:05:00-05:00,678.23,678.9300000000001,676.8299999999999,2025-12-16 11:25:00-05:00,676.8299999999999,TP,2.0
2025-12-17,SHORT,680.435,679.195,2025-12-17 09:40:00-05:00,2025-12-17 09:55:00-05:00,2025-12-17 10:00:00-05:00,2025-12-17 10:05:00-05:00,2025-12-17 10:05:00-05:00,678.48,679.2950000000001,676.8499999999999,2025-12-17 10:20:00-05:00,679.2950000000001,SL,-1.0
2025-12-18,SHORT,678.59,677.32,2025-12-18 09:40:00-05:00,2025-12-18 09:50:00-05:00,2025-12-18 10:10:00-05:00,2025-12-18 10:15:00-05:00,2025-12-18 10:15:00-05:00,676.55,677.4200000000001,674.8099999999997,2025-12-18 10:20:00-05:00,677.4200000000001,SL,-1.0
2025-12-22,LONG,684.53,683.38,2025-12-22 11:15:00-05:00,2025-12-22 11:30:00-05:00,2025-12-22 11:50:00-05:00,2025-12-22 11:55:00-05:00,2025-12-22 11:55:00-05:00,684.95,684.43,685.9900000000002,2025-12-22 13:25:00-05:00,684.43,SL,-1.0
2025-12-23,LONG,685.61,683.87,2025-12-23 09:45:00-05:00,2025-12-23 09:55:00-05:00,2025-12-23 10:30:00-05:00,2025-12-23 10:35:00-05:00,2025-12-23 10:35:00-05:00,685.95,685.51,686.8300000000002,2025-12-23 11:50:00-05:00,686.8300000000002,TP,2.0
2025-12-26,SHORT,691.09,690.27,2025-12-26 11:15:00-05:00,2025-12-26 11:20:00-05:00,2025-12-26 11:25:00-05:00,2025-12-26 11:30:00-05:00,2025-12-26 11:30:00-05:00,690.13,690.37,689.65,2025-12-26 12:05:00-05:00,689.65,TP,2.0
2025-12-29,LONG,688.09,687.19,2025-12-29 09:40:00-05:00,2025-12-29 09:45:00-05:00,2025-12-29 10:30:00-05:00,2025-12-29 10:40:00-05:00,2025-12-29 10:40:00-05:00,688.19,687.99,688.5900000000001,2025-12-29 10:45:00-05:00,687.99,SL,-1.0
2025-12-30,LONG,687.87,687.2488,2025-12-30 09:55:00-05:00,2025-12-30 10:00:00-05:00,2025-12-30 11:00:00-05:00,2025-12-30 11:15:00-05:00,2025-12-30 11:15:00-05:00,687.96,687.77,688.3400000000001,2025-12-30 11:20:00-05:00,688.3400000000001,TP,2.0
2026-01-05,LONG,687.64,686.375,2026-01-05 10:20:00-05:00,2026-01-05 14:50:00-05:00,2026-01-05 15:05:00-05:00,2026-01-05 15:10:00-05:00,2026-01-05 15:10:00-05:00,688.13,687.54,689.3100000000001,2026-01-05 15:50:00-05:00,687.54,SL,-1.0
2026-01-06,LONG,688.66,687.86,2026-01-06 09:50:00-05:00,2026-01-06 11:00:00-05:00,2026-01-06 11:05:00-05:00,2026-01-06 11:10:00-05:00,2026-01-06 11:10:00-05:00,688.865,688.56,689.4750000000001,2026-01-06 11:20:00-05:00,689.4750000000001,TP,2.0
2026-01-07,LONG,692.43,691.71,2026-01-07 09:45:00-05:00,2026-01-07 10:00:00-05:00,2026-01-07 10:55:00-05:00,2026-01-07 11:00:00-05:00,2026-01-07 11:00:00-05:00,692.72,692.3299999999999,693.5000000000002,2026-01-07 11:20:00-05:00,692.3299999999999,SL,-1.0
2026-01-08,LONG,689.3,688.315,2026-01-08 10:10:00-05:00,2026-01-08 10:45:00-05:00,2026-01-08 10:55:00-05:00,2026-01-08 11:00:00-05:00,2026-01-08 11:00:00-05:00,689.9,689.1999999999999,691.3000000000001,2026-01-08 11:05:00-05:00,689.1999999999999,SL,-1.0
2026-01-14,SHORT,691.7,689.87,2026-01-14 09:55:00-05:00,2026-01-14 10:10:00-05:00,2026-01-14 10:20:00-05:00,2026-01-14 10:25:00-05:00,2026-01-14 10:25:00-05:00,688.76,689.97,686.3399999999999,2026-01-14 11:50:00-05:00,686.3399999999999,TP,2.0
2026-01-15,SHORT,694.69,693.97,2026-01-15 10:05:00-05:00,2026-01-15 10:10:00-05:00,2026-01-15 10:25:00-05:00,2026-01-15 10:40:00-05:00,2026-01-15 10:40:00-05:00,693.91,694.07,693.5899999999998,2026-01-15 10:45:00-05:00,693.5899999999998,TP,2.0
2026-01-16,SHORT,694.25,693.29,2026-01-16 09:55:00-05:00,2026-01-16 14:00:00-05:00,2026-01-16 14:10:00-05:00,2026-01-16 14:15:00-05:00,2026-01-16 14:15:00-05:00,692.1799,693.39,689.7597,2026-01-16 16:00:00-05:00,691.69,EOD,0.4048425749937327
