target_pct,trades,win_rate_pct,avg_option_pnl_pct,median_option_pnl_pct,target_hits,time_stops,stop_losses
10.0,2,100.0,10.0,10.0,2,0,0
20.0,2,100.0,20.0,20.0,2,0,0
